Dihydroxyborane (B(OH)2)	B1H2O2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.772	-470.383	-470.383	INFINITE
100	34.306	198.871	283.171	-8.430	-472.969	-465.422	243.112
200	42.381	224.875	248.034	-4.632	-475.109	-457.021	119.362
250	47.278	234.855	244.419	-2.391	-476.093	-452.384	94.520
298.15	52.015	243.589	243.589	0.	-476.976	-447.736	78.441
300	52.195	243.911	243.590	0.096	-477.008	-447.554	77.926
350	56.883	252.313	244.243	2.825	-477.833	-442.579	66.051
400	61.190	260.195	245.749	5.778	-478.566	-437.492	57.131
450	65.065	267.630	247.771	8.936	-479.213	-432.318	50.182
500	68.519	274.668	250.112	12.278	-479.779	-427.076	44.616
600	74.344	287.695	255.309	19.432	-480.695	-416.445	36.255
700	79.038	299.520	260.793	27.109	-481.365	-405.680	30.272
800	82.894	310.334	266.319	35.212	-481.835	-394.834	25.780
900	86.106	320.289	271.770	43.666	-482.142	-383.939	22.283
1000	88.805	329.504	277.089	52.416	-482.321	-373.017	19.484
1100	91.088	338.079	282.248	61.414	-482.401	-362.081	17.194
1200	93.028	346.090	287.238	70.622	-482.408	-351.143	15.285
1300	94.683	353.603	292.057	80.010	-482.366	-340.205	13.670
1400	96.102	360.673	296.708	89.551	-482.292	-329.272	12.285
1500	97.324	367.346	301.197	99.224	-482.203	-318.346	11.086
1600	98.380	373.662	305.530	109.010	-482.111	-307.425	10.036
1700	99.298	379.654	309.716	118.895	-482.028	-296.509	9.111
1800	100.098	385.353	313.761	128.866	-481.961	-285.599	8.288
1900	100.800	390.784	317.673	138.911	-481.920	-274.691	7.552
2000	101.417	395.971	321.459	149.023	-481.908	-263.785	6.889
2100	101.962	400.932	325.126	159.192	-481.932	-252.878	6.290
2200	102.445	405.687	328.681	169.413	-481.995	-241.969	5.745
2300	102.876	410.250	332.129	179.680	-482.101	-231.057	5.247
2400	103.260	414.637	335.476	189.987	-532.512	-219.070	4.768
2500	103.605	418.860	338.727	200.330	-532.788	-206.005	4.304
2600	103.915	422.929	341.888	210.707	-533.081	-192.928	3.876
2700	104.195	426.856	344.963	221.112	-533.392	-179.839	3.479
2800	104.448	430.650	347.956	231.545	-533.721	-166.738	3.111
2900	104.678	434.320	350.871	242.001	-534.071	-153.626	2.767
3000	104.887	437.872	353.712	252.480	-534.442	-140.500	2.446
3100	105.078	441.314	356.483	262.978	-534.834	-127.362	2.146
3200	105.253	444.653	359.186	273.495	-535.248	-114.212	1.864
3300	105.413	447.894	361.825	284.028	-535.684	-101.048	1.599
3400	105.560	451.044	364.403	294.577	-536.143	-87.870	1.350
3500	105.696	454.105	366.923	305.140	-536.623	-74.679	1.115
3600	105.821	457.085	369.386	315.716	-537.127	-61.473	0.892
3700	105.937	459.986	371.796	326.304	-537.652	-48.254	0.681
3800	106.044	462.812	374.154	336.903	-538.201	-35.019	0.481
3900	106.143	465.568	376.463	347.512	-538.772	-21.769	0.292
4000	106.236	468.257	378.724	358.131	-539.366	-8.506	0.111
4100	106.322	470.881	380.940	368.759	-539.982	4.773	-0.061
4200	106.402	473.444	383.112	379.395	-1020.471	25.092	-0.312
4300	106.477	475.949	385.242	390.039	-1020.046	49.981	-0.607
4400	106.547	478.397	387.331	400.691	-1019.646	74.860	-0.889
4500	106.613	480.792	389.382	411.349	-1019.270	99.731	-1.158
4600	106.674	483.136	391.394	422.013	-1018.920	124.593	-1.415
4700	106.732	485.431	393.371	432.683	-1018.596	149.449	-1.661
4800	106.787	487.679	395.312	443.359	-1018.298	174.298	-1.897
4900	106.838	489.881	397.220	454.041	-1018.027	199.141	-2.123
5000	106.886	492.040	399.095	464.727	-1017.783	223.979	-2.340
5100	106.932	494.157	400.938	475.418	-1017.567	248.812	-2.548
5200	106.975	496.234	402.751	486.113	-1017.378	273.641	-2.749
5300	107.016	498.272	404.534	496.813	-1017.218	298.467	-2.942
5400	107.054	500.273	406.288	507.516	-1017.088	323.290	-3.127
5500	107.091	502.238	408.015	518.223	-1016.987	348.110	-3.306
5600	107.125	504.167	409.715	528.934	-1016.916	372.930	-3.479
5700	107.158	506.064	411.389	539.648	-1016.877	397.748	-3.645
5800	107.189	507.928	413.037	550.366	-1016.869	422.567	-3.806
5900	107.219	509.760	414.661	561.086	-1016.893	447.383	-3.961
6000	107.247	511.563	416.261	571.810	-1016.949	472.202	-4.111
