Barium Oxide (BaO)	Ba1O1(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-9.983	-546.833	-546.833	INFINITE
100	31.941	27.301	111.119	-8.382	-548.383	-539.039	281.565
200	43.493	53.898	76.289	-4.478	-548.479	-529.582	138.313
298.15	47.279	72.069	72.069	0.000	-548.104	-520.382	91.169
300	47.329	72.362	72.070	0.088	-548.096	-520.210	90.577
400	49.898	86.347	73.960	4.955	-547.731	-510.977	66.727
500	51.785	97.694	77.607	10.044	-547.990	-501.778	52.420
600	53.220	107.267	81.773	15.296	-548.939	-492.436	42.870
700	54.396	115.561	86.021	20.678	-548.999	-483.025	36.044
800	55.405	122.892	90.180	26.169	-549.503	-473.558	30.920
900	56.312	129.471	94.186	31.756	-549.526	-464.063	26.934
1000	57.153	135.448	98.018	37.429	-549.490	-454.569	23.744
1100	57.948	140.932	101.674	43.185	-557.766	-444.261	21.096
1200	58.706	146.007	105.159	49.018	-557.850	-433.937	18.889
1300	59.442	150.735	108.485	54.925	-557.776	-423.613	17.021
1400	60.162	155.167	111.663	60.905	-557.567	-413.300	15.420
1500	60.869	159.342	114.704	66.957	-557.244	-403.006	14.034
1600	61.563	163.292	117.618	73.079	-556.829	-392.737	12.822
1700	62.250	167.045	120.416	79.269	-556.342	-382.496	11.753
1800	62.927	170.623	123.107	85.528	-555.805	-372.285	10.803
1900	63.605	174.043	125.698	91.855	-555.239	-362.105	9.955
2000	64.275	177.323	128.198	98.249	-554.665	-351.955	9.192
2100	64.940	180.475	130.613	104.710	-554.107	-341.833	8.503
2200	65.605	183.511	132.949	111.237	-693.105	-326.362	7.749
2286.000	66.177	186.038	134.899	116.904	CRYSTAL <--> LIQUID
2286.000	66.944	211.661	134.899	175.480	TRANSITION
2300	66.944	212.070	135.367	176.417	-633.217	-310.080	7.042
2400	66.944	214.919	138.623	183.111	-632.049	-296.057	6.444
2500	66.944	217.652	141.730	189.806	-631.116	-282.077	5.894
2600	66.944	220.278	144.701	196.500	-630.414	-268.130	5.387
2700	66.944	222.804	147.547	203.194	-629.932	-254.206	4.918
2800	66.944	225.239	150.278	209.889	-629.655	-240.296	4.483
2900	66.944	227.588	152.904	216.583	-629.565	-226.392	4.078
3000	66.944	229.857	155.432	223.278	-629.640	-212.489	3.700
3100	66.944	232.053	157.868	229.972	-629.857	-198.580	3.346
3200	66.944	234.178	160.220	236.666	-630.192	-184.663	3.014
3300	66.944	236.238	162.492	243.361	-630.614	-170.735	2.703
3400	66.944	238.236	164.691	250.055	-631.111	-156.792	2.409
3500	66.944	240.177	166.820	256.750	-631.660	-142.833	2.132
3600	66.944	242.063	168.884	263.444	-632.240	-128.859	1.870
3700	66.944	243.897	170.887	270.138	-632.837	-114.868	1.622
3800	66.944	245.682	172.832	276.833	-633.435	-100.860	1.386
3900	66.944	247.421	174.722	283.527	-634.023	-86.837	1.163
4000	66.944	249.116	176.561	290.222	-634.593	-72.800	0.951
4100	66.944	250.769	178.351	296.916	-635.135	-58.748	0.748
4200	66.944	252.382	180.094	303.610	-635.646	-44.684	0.556
4300	66.944	253.957	181.794	310.305	-636.125	-30.608	0.372
4400	66.944	255.496	183.451	316.999	-636.568	-16.521	0.196
4500	66.944	257.001	185.069	323.694	-636.975	-2.425	0.028
4600	66.944	258.472	186.649	330.388	-637.339	11.680	-0.133
4700	66.944	259.912	188.192	337.082	-637.649	25.790	-0.287
4800	66.944	261.321	189.701	343.777	-637.946	39.909	-0.434
4900	66.944	262.702	191.177	350.471	-638.206	54.034	-0.576
5000	66.944	264.054	192.621	357.166	-638.442	68.163	-0.712
