Barium Oxide (BaO)	Ba1O1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.014	-121.607	-121.607	INFINITE
100	29.160	202.190	263.233	-6.104	-121.848	-129.993	67.901
200	30.735	222.767	238.400	-3.127	-122.870	-137.747	35.976
298.15	32.897	235.457	235.457	0.	-123.846	-144.839	25.375
300	32.932	235.661	235.458	0.061	-123.865	-144.969	25.241
400	34.443	245.359	236.770	3.435	-124.993	-151.844	19.829
500	35.385	253.154	239.293	6.930	-126.845	-158.363	16.544
600	35.988	259.662	242.160	10.501	-129.476	-164.410	14.313
700	36.393	265.242	245.068	14.122	-131.298	-170.100	12.693
800	36.679	270.121	247.901	17.776	-133.639	-175.478	11.458
900	36.889	274.454	250.616	21.455	-135.569	-180.592	10.481
1000	37.049	278.350	253.197	25.152	-137.510	-185.491	9.689
1100	37.177	281.887	255.647	28.864	-147.829	-189.375	8.993
1200	37.281	285.126	257.971	32.587	-150.023	-193.054	8.403
1300	37.370	288.114	260.176	36.319	-152.124	-196.554	7.898
1400	37.448	290.886	262.272	40.060	-154.154	-199.895	7.458
1500	37.520	293.472	264.267	43.809	-156.135	-203.093	7.072
1600	37.593	295.896	266.169	47.564	-158.085	-206.160	6.730
1700	37.671	298.178	267.985	51.327	-160.026	-209.105	6.425
1800	37.762	300.333	269.723	55.099	-161.977	-211.936	6.150
1900	37.873	302.378	271.388	58.880	-163.956	-214.658	5.901
2000	38.014	304.324	272.987	62.675	-165.982	-217.274	5.675
2100	38.195	306.183	274.523	66.485	-168.074	-219.787	5.467
2200	38.427	307.965	276.003	70.315	-309.769	-216.824	5.148
2300	38.720	309.679	277.430	74.172	-311.204	-212.568	4.828
2400	39.086	311.335	278.809	78.062	-312.841	-208.245	4.532
2500	39.535	312.939	280.142	81.992	-314.672	-203.850	4.259
2600	40.079	314.500	281.434	85.972	-316.684	-199.378	4.006
2700	40.725	316.024	282.687	90.011	-318.858	-194.825	3.769
2800	41.483	317.519	283.904	94.121	-321.166	-190.190	3.548
2900	42.357	318.989	285.089	98.312	-323.579	-185.470	3.341
3000	43.353	320.442	286.243	102.596	-326.064	-180.665	3.146
3100	44.471	321.881	287.369	106.986	-328.585	-175.777	2.962
3200	45.711	323.312	288.470	111.494	-331.106	-170.807	2.788
3300	47.069	324.739	289.548	116.132	-333.585	-165.760	2.624
3400	48.539	326.166	290.604	120.912	-335.997	-160.638	2.468
3500	50.112	327.595	291.640	125.844	-338.308	-155.447	2.320
3600	51.777	329.030	292.659	130.937	-340.490	-150.191	2.179
3700	53.519	330.472	293.661	136.201	-342.516	-144.877	2.045
3800	55.323	331.924	294.649	141.643	-344.367	-139.509	1.918
3900	57.172	333.384	295.624	147.268	-346.025	-134.096	1.796
4000	59.044	334.855	296.586	153.078	-347.479	-128.643	1.680
4100	60.922	336.337	297.537	159.077	-348.717	-123.157	1.569
4200	62.784	337.827	298.479	165.262	-349.737	-117.643	1.463
4300	64.609	339.326	299.411	171.632	-350.540	-112.107	1.362
4400	66.380	340.832	300.336	178.182	-351.127	-106.555	1.265
4500	68.076	342.342	301.252	184.906	-351.505	-100.992	1.172
4600	69.681	343.856	302.162	191.794	-351.675	-95.423	1.084
4700	71.180	345.371	303.065	198.838	-351.636	-89.855	0.999
4800	72.561	346.885	303.962	206.026	-351.439	-84.287	0.917
4900	73.812	348.394	304.854	213.346	-351.073	-78.725	0.839
5000	74.928	349.896	305.740	220.784	-350.565	-73.172	0.764
5100	75.901	351.390	306.620	228.327	-349.905	-67.632	0.693
5200	76.729	352.872	307.495	235.960	-349.151	-62.105	0.624
5300	77.413	354.340	308.365	243.668	-348.300	-56.593	0.558
5400	77.953	355.793	309.230	251.437	-347.371	-51.098	0.494
5500	78.354	357.227	310.090	259.254	-346.348	-45.624	0.433
5600	78.620	358.641	310.944	267.104	-345.252	-40.173	0.375
5700	78.759	360.034	311.793	274.974	-344.175	-34.735	0.318
5800	78.777	361.404	312.637	282.851	-343.058	-29.318	0.264
5900	78.684	362.750	313.475	290.725	-341.820	-23.939	0.212
6000	78.489	364.071	314.307	298.585	-340.718	-18.560	0.162
