Beryllium Fluoride (BeF)	Be1F1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.711	-172.237	-172.237	INFINITE
100	29.109	173.800	231.865	-5.807	-170.825	-179.636	93.832
200	29.204	193.990	208.457	-2.893	-169.954	-188.852	49.323
250	29.454	200.530	206.241	-1.428	-169.831	-193.594	40.449
298.15	29.872	205.751	205.751	0.	-169.870	-198.170	34.719
300	29.891	205.936	205.752	0.055	-169.874	-198.345	34.535
350	30.461	210.586	206.118	1.564	-170.039	-203.079	30.308
400	31.091	214.694	206.938	3.102	-170.279	-207.783	27.134
450	31.725	218.393	208.009	4.673	-170.569	-212.454	24.661
500	32.327	221.767	209.218	6.274	-170.893	-217.091	22.679
600	33.379	227.757	211.821	9.561	-171.609	-226.265	19.698
700	34.217	232.968	214.478	12.943	-172.395	-235.313	17.559
800	34.872	237.581	217.083	16.399	-173.241	-244.244	15.948
900	35.387	241.720	219.595	19.913	-174.146	-253.066	14.688
1000	35.795	245.470	221.998	23.472	-175.115	-261.783	13.674
1100	36.124	248.898	224.289	27.069	-176.149	-270.401	12.840
1200	36.393	252.053	226.473	30.695	-177.254	-278.921	12.141
1300	36.617	254.975	228.555	34.346	-178.433	-287.346	11.546
1400	36.806	257.696	230.540	38.018	-179.689	-295.677	11.032
1500	36.968	260.241	232.436	41.707	-181.026	-303.916	10.583
1600	37.109	262.631	234.250	45.411	-196.982	-311.537	10.171
1700	37.233	264.885	235.986	49.128	-198.085	-318.663	9.791
1800	37.343	267.016	237.651	52.857	-199.206	-325.723	9.452
1900	37.442	269.038	239.250	56.596	-200.344	-332.721	9.147
2000	37.532	270.961	240.788	60.345	-201.498	-339.659	8.871
2100	37.615	272.794	242.269	64.102	-202.668	-346.538	8.620
2200	37.691	274.545	243.697	67.868	-203.853	-353.361	8.390
2300	37.762	276.222	245.075	71.640	-205.052	-360.130	8.179
2400	37.829	277.831	246.406	75.420	-206.263	-366.847	7.984
2500	37.892	279.377	247.694	79.206	-207.484	-373.513	7.804
2600	37.951	280.864	248.942	82.998	-208.715	-380.130	7.637
2700	38.008	282.297	250.151	86.796	-209.953	-386.699	7.481
2800	38.063	283.681	251.323	90.600	-502.155	-387.000	7.220
2900	38.115	285.017	252.462	94.409	-502.341	-382.884	6.896
3000	38.166	286.310	253.569	98.223	-502.516	-378.762	6.595
3100	38.215	287.562	254.646	102.042	-502.678	-374.634	6.313
3200	38.263	288.776	255.693	105.866	-502.828	-370.501	6.048
3300	38.310	289.955	256.714	109.694	-502.968	-366.364	5.799
3400	38.356	291.099	257.708	113.528	-503.099	-362.222	5.565
3500	38.402	292.211	258.678	117.366	-503.221	-358.077	5.344
3600	38.446	293.294	259.625	121.208	-503.337	-353.928	5.135
3700	38.491	294.348	260.549	125.055	-503.448	-349.776	4.938
3800	38.535	295.375	261.452	128.906	-503.556	-345.622	4.751
3900	38.579	296.377	262.335	132.762	-503.663	-341.464	4.573
4000	38.623	297.354	263.198	136.622	-503.772	-337.304	4.405
4100	38.667	298.308	264.043	140.487	-503.884	-333.141	4.244
4200	38.712	299.240	264.870	144.356	-504.003	-328.975	4.091
4300	38.758	300.152	265.680	148.229	-504.130	-324.806	3.946
4400	38.804	301.043	266.474	152.107	-504.267	-320.634	3.806
4500	38.850	301.916	267.252	155.990	-504.417	-316.459	3.673
4600	38.898	302.770	268.014	159.877	-504.582	-312.280	3.546
4700	38.947	303.607	268.763	163.769	-504.764	-308.098	3.424
4800	38.997	304.428	269.497	167.667	-504.965	-303.911	3.307
4900	39.049	305.233	270.218	171.569	-505.187	-299.721	3.195
5000	39.102	306.022	270.927	175.477	-505.431	-295.525	3.087
5100	39.157	306.797	271.622	179.389	-505.700	-291.324	2.984
5200	39.213	307.558	272.306	183.308	-505.994	-287.118	2.884
5300	39.271	308.305	272.978	187.232	-506.314	-282.906	2.788
5400	39.331	309.040	273.639	191.162	-506.662	-278.687	2.696
5500	39.393	309.762	274.290	195.098	-507.039	-274.462	2.607
5600	39.458	310.472	274.929	199.041	-507.446	-270.230	2.521
5700	39.524	311.171	275.559	202.990	-507.882	-265.990	2.438
5800	39.593	311.859	276.179	206.946	-508.348	-261.742	2.357
5900	39.664	312.537	276.790	210.909	-508.845	-257.486	2.280
6000	39.738	313.204	277.391	214.879	-509.373	-253.222	2.204
