Bromine (Br)	Br1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.197	117.917	117.917	INFINITE
100	20.786	152.310	193.497	-4.119	118.599	106.061	-55.400
200	20.786	166.717	176.918	-2.040	118.227	93.626	-24.453
250	20.786	171.356	175.359	-1.001	117.859	87.515	-18.285
298.15	20.786	175.017	175.017	0.	111.860	82.369	-14.431
300	20.786	175.145	175.017	0.038	111.828	82.186	-14.310
350	20.786	178.350	175.270	1.078	96.543	78.082	-11.653
400	20.787	181.125	175.832	2.117	96.667	75.436	-9.851
450	20.790	183.574	176.559	3.157	96.786	72.775	-8.447
500	20.798	185.765	177.372	4.196	96.900	70.100	-7.323
600	20.833	189.559	179.097	6.277	97.122	64.720	-5.634
700	20.908	192.776	180.827	8.364	97.339	59.302	-4.425
800	21.027	195.575	182.499	10.461	97.560	53.853	-3.516
900	21.184	198.060	184.093	12.571	97.788	48.376	-2.808
1000	21.365	200.301	185.603	14.698	98.028	42.873	-2.239
1100	21.559	202.347	187.034	16.844	98.283	37.345	-1.773
1200	21.752	204.231	188.389	19.010	98.552	31.794	-1.384
1300	21.937	205.979	189.676	21.195	98.837	26.219	-1.054
1400	22.107	207.611	190.899	23.397	99.134	20.622	-0.769
1500	22.258	209.142	192.065	25.615	99.443	15.004	-0.522
1600	22.388	210.583	193.178	27.848	99.761	9.364	-0.306
1700	22.497	211.943	194.242	30.092	100.085	3.704	-0.114
1800	22.586	213.232	195.262	32.346	100.412	-1.975	0.057
1900	22.657	214.455	196.240	34.609	100.740	-7.672	0.211
2000	22.710	215.619	197.180	36.877	101.066	-13.386	0.350
2100	22.748	216.728	198.085	39.150	101.387	-19.117	0.476
2200	22.772	217.786	198.956	41.426	101.701	-24.862	0.590
2300	22.785	218.799	199.797	43.704	102.006	-30.622	0.695
2400	22.788	219.769	200.609	45.983	102.301	-36.395	0.792
2500	22.782	220.699	201.394	48.262	102.585	-42.180	0.881
2600	22.769	221.592	202.154	50.539	102.856	-47.976	0.964
2700	22.750	222.451	202.890	52.815	103.114	-53.782	1.040
2800	22.727	223.278	203.603	55.089	103.360	-59.598	1.112
2900	22.699	224.075	204.296	57.360	103.592	-65.421	1.178
3000	22.669	224.844	204.968	59.629	103.813	-71.253	1.241
3100	22.635	225.587	205.621	61.894	104.023	-77.092	1.299
3200	22.600	226.305	206.256	64.156	104.222	-82.938	1.354
3300	22.564	227.000	206.875	66.414	104.411	-88.790	1.405
3400	22.526	227.673	207.476	68.669	104.593	-94.647	1.454
3500	22.489	228.325	208.063	70.919	104.767	-100.510	1.500
3600	22.450	228.958	208.634	73.166	104.936	-106.377	1.543
3700	22.412	229.573	209.192	75.409	105.101	-112.249	1.585
3800	22.374	230.170	209.736	77.649	105.263	-118.126	1.624
3900	22.336	230.751	210.268	79.884	105.423	-124.006	1.661
4000	22.298	231.316	210.787	82.116	105.582	-129.891	1.696
4100	22.261	231.866	211.294	84.344	105.743	-135.780	1.730
4200	22.225	232.402	211.791	86.568	105.904	-141.673	1.762
4300	22.189	232.925	212.276	88.789	106.069	-147.569	1.793
4400	22.154	233.434	212.751	91.006	106.237	-153.470	1.822
4500	22.120	233.932	213.216	93.220	106.409	-159.374	1.850
4600	22.087	234.418	213.672	95.430	106.587	-165.283	1.877
4700	22.055	234.892	214.118	97.637	106.770	-171.195	1.903
4800	22.023	235.356	214.556	99.841	106.960	-177.111	1.927
4900	21.992	235.810	214.985	102.042	107.156	-183.031	1.951
5000	21.962	236.254	215.406	104.239	107.359	-188.955	1.974
5100	21.933	236.689	215.819	106.434	107.570	-194.883	1.996
5200	21.905	237.114	216.225	108.626	107.789	-200.816	2.017
5300	21.878	237.531	216.623	110.815	108.016	-206.753	2.038
5400	21.851	237.940	217.014	113.002	108.251	-212.694	2.057
5500	21.825	238.341	217.398	115.186	108.495	-218.640	2.076
5600	21.800	238.734	217.775	117.367	108.746	-224.590	2.095
5700	21.776	239.119	218.146	119.546	109.007	-230.545	2.113
5800	21.752	239.498	218.511	121.722	109.275	-236.504	2.130
5900	21.730	239.870	218.870	123.896	109.552	-242.468	2.147
6000	21.708	240.235	219.223	126.068	109.838	-248.437	2.163
