Calcium Bromide (CaBr)	Br1Ca1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.854	-41.259	-41.259	INFINITE
100	31.560	215.410	284.258	-6.885	-40.667	-57.919	30.254
200	35.141	238.594	256.190	-3.519	-42.021	-74.700	19.510
250	35.915	246.526	253.491	-1.741	-42.901	-82.771	17.294
298.15	36.381	252.894	252.894	0.	-49.396	-89.707	15.716
300	36.395	253.119	252.895	0.067	-49.447	-89.957	15.663
350	36.713	258.755	253.339	1.896	-65.250	-95.832	14.302
400	36.935	263.673	254.330	3.737	-65.652	-100.174	13.081
450	37.100	268.033	255.615	5.588	-66.084	-104.463	12.126
500	37.227	271.949	257.056	7.446	-66.554	-108.703	11.356
600	37.413	278.754	260.122	11.179	-67.624	-117.035	10.189
700	37.548	284.532	263.207	14.927	-68.883	-125.173	9.341
800	37.654	289.553	266.193	18.688	-71.193	-133.014	8.685
900	37.743	293.993	269.040	22.458	-72.831	-140.646	8.163
1000	37.822	297.974	271.738	26.236	-74.760	-148.080	7.735
1100	37.894	301.582	274.289	30.022	-76.988	-155.307	7.375
1200	37.962	304.882	276.703	33.815	-87.252	-161.695	7.038
1300	38.026	307.923	278.989	37.614	-88.852	-167.834	6.744
1400	38.088	310.744	281.158	41.420	-90.451	-173.849	6.486
1500	38.149	313.373	283.219	45.232	-92.049	-179.750	6.259
1600	38.209	315.837	285.181	49.050	-93.646	-185.545	6.057
1700	38.269	318.156	287.054	52.873	-95.242	-191.240	5.876
1800	38.331	320.345	288.843	56.703	-245.513	-194.630	5.648
1900	38.395	322.419	290.556	60.540	-245.698	-191.798	5.273
2000	38.463	324.390	292.199	64.383	-245.889	-188.956	4.935
2100	38.536	326.268	293.777	68.232	-246.091	-186.104	4.629
2200	38.615	328.063	295.295	72.090	-246.306	-183.243	4.351
2300	38.703	329.781	296.757	75.956	-246.539	-180.371	4.096
2400	38.800	331.430	298.168	79.831	-246.792	-177.489	3.863
2500	38.908	333.016	299.530	83.716	-247.071	-174.596	3.648
2600	39.028	334.545	300.848	87.613	-247.381	-171.691	3.449
2700	39.161	336.020	302.123	91.522	-247.726	-168.773	3.265
2800	39.307	337.447	303.359	95.445	-248.113	-165.842	3.094
2900	39.468	338.829	304.559	99.384	-248.545	-162.896	2.934
3000	39.644	340.170	305.723	103.340	-249.030	-159.935	2.785
3100	39.835	341.473	306.856	107.313	-249.573	-156.956	2.645
3200	40.041	342.741	307.957	111.307	-250.178	-153.959	2.513
3300	40.262	343.976	309.030	115.322	-250.852	-150.942	2.389
3400	40.498	345.182	310.076	119.360	-251.600	-147.903	2.272
3500	40.748	346.359	311.096	123.422	-252.427	-144.842	2.162
3600	41.013	347.511	312.091	127.510	-253.338	-141.755	2.057
3700	41.291	348.638	313.064	131.625	-254.336	-138.642	1.957
3800	41.582	349.743	314.015	135.769	-255.426	-135.501	1.863
3900	41.885	350.827	314.945	139.942	-256.610	-132.330	1.772
4000	42.199	351.892	315.855	144.146	-257.892	-129.127	1.686
4100	42.524	352.938	316.747	148.382	-259.272	-125.891	1.604
4200	42.858	353.966	317.621	152.651	-260.751	-122.620	1.525
4300	43.201	354.979	318.478	156.954	-262.332	-119.313	1.449
4400	43.552	355.976	319.319	161.291	-264.009	-115.968	1.377
4500	43.910	356.959	320.144	165.664	-265.770	-112.584	1.307
4600	44.274	357.928	320.955	170.074	-267.634	-109.160	1.240
4700	44.643	358.884	321.752	174.519	-269.594	-105.694	1.175
4800	45.016	359.828	322.536	179.002	-271.643	-102.185	1.112
4900	45.394	360.760	323.306	183.523	-273.778	-98.633	1.051
5000	45.773	361.681	324.064	188.081	-275.993	-95.036	0.993
5100	46.155	362.591	324.811	192.677	-278.285	-91.395	0.936
5200	46.538	363.491	325.546	197.312	-280.642	-87.708	0.881
5300	46.921	364.381	326.271	201.985	-283.068	-83.974	0.828
5400	47.303	365.261	326.984	206.696	-285.553	-80.194	0.776
5500	47.685	366.133	327.688	211.446	-288.090	-76.368	0.725
5600	48.065	366.996	328.383	216.233	-290.664	-72.496	0.676
5700	48.442	367.850	329.067	221.059	-293.286	-68.577	0.628
5800	48.817	368.695	329.743	225.921	-295.942	-64.612	0.582
5900	49.188	369.533	330.411	230.822	-298.626	-60.601	0.537
6000	49.555	370.363	331.070	235.759	-301.330	-56.544	0.492
