Strontium Bromide (SrBr2)	Br2Sr1(l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	76.852	154.843	154.843	0.	-705.098	-689.280	120.759
300	76.902	155.319	154.845	0.142	-705.146	-689.181	119.997
400	79.036	177.742	157.888	7.942	-734.555	-677.733	88.503
500	80.835	195.571	163.701	15.935	-733.082	-663.697	69.336
600	82.678	210.471	170.287	24.110	-731.556	-649.963	56.584
600.000	82.678	210.471	170.287	24.110	GLASS <--> LIQUID
600.000	116.391	210.471	170.287	24.110	TRANSITION
700	116.391	228.413	177.342	35.749	-726.689	-636.751	47.515
800	116.391	243.955	184.719	47.388	-721.942	-624.228	40.758
900	116.391	257.664	192.077	59.027	-717.941	-612.220	35.532
1000	116.391	269.926	199.260	70.667	-713.110	-600.733	31.379
1100	116.391	281.020	206.196	82.306	-716.190	-589.363	27.987
1200	116.391	291.147	212.860	93.945	-712.289	-578.006	25.160
1300	116.391	300.463	219.245	105.584	-708.397	-566.974	22.781
1400	116.391	309.089	225.358	117.223	-704.513	-556.241	20.754
1500	116.391	317.119	231.211	128.862	-700.640	-545.785	19.006
1600	116.391	324.630	236.817	140.501	-696.776	-535.587	17.485
1700	116.391	331.687	242.193	152.140	-829.838	-524.451	16.114
1800	116.391	338.339	247.351	163.779	-824.139	-506.652	14.703
1900	116.391	344.632	252.307	175.418	-818.460	-489.169	13.448
2000	116.391	350.602	257.074	187.057	-812.806	-471.984	12.327
2100	116.391	356.281	261.664	198.696	-807.183	-455.081	11.320
2200	116.391	361.695	266.089	210.335	-801.596	-438.446	10.410
2300	116.391	366.869	270.359	221.974	-796.053	-422.063	9.585
2400	116.391	371.823	274.484	233.613	-790.561	-405.921	8.835
2500	116.391	376.574	278.473	245.252	-785.127	-390.006	8.149
2600	116.391	381.139	282.335	256.891	-779.761	-374.307	7.520
2700	116.391	385.532	286.076	268.530	-774.471	-358.813	6.942
2800	116.391	389.764	289.704	280.169	-769.265	-343.514	6.408
2900	116.391	393.849	293.225	291.809	-764.152	-328.399	5.915
3000	116.391	397.795	296.645	303.448	-759.140	-313.459	5.458
