Formyl (HCO)	C1H1O1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.989	43.151	43.151	INFINITE
100	33.258	188.025	254.660	-6.664	43.465	38.459	-20.089
200	33.469	211.108	227.769	-3.332	43.667	33.352	-8.711
250	33.921	218.619	225.214	-1.649	43.628	30.776	-6.430
298.15	34.597	224.649	224.649	0.	43.514	28.309	-4.960
300	34.627	224.863	224.650	0.064	43.508	28.215	-4.913
350	35.518	230.266	225.074	1.817	43.327	25.680	-3.833
400	36.530	235.074	226.029	3.618	43.100	23.174	-3.026
450	37.614	239.438	227.280	5.471	42.837	20.698	-2.403
500	38.733	243.459	228.699	7.380	42.545	18.254	-1.907
600	40.965	250.719	231.777	11.365	41.908	13.455	-1.171
700	43.068	257.194	234.954	15.568	41.242	8.765	-0.654
800	44.962	263.071	238.106	19.972	40.580	4.171	-0.272
900	46.623	268.465	241.184	24.553	39.936	-0.341	0.020
1000	48.056	273.454	244.165	29.289	39.316	-4.783	0.250
1100	49.282	278.093	247.041	34.157	38.717	-9.164	0.435
1200	50.329	282.427	249.811	39.139	38.134	-13.491	0.587
1300	51.224	286.492	252.478	44.218	37.562	-17.770	0.714
1400	51.991	290.317	255.045	49.380	36.995	-22.004	0.821
1500	52.651	293.927	257.518	54.613	36.429	-26.199	0.912
1600	53.223	297.343	259.901	59.907	35.859	-30.356	0.991
1700	53.722	300.585	262.200	65.255	35.282	-34.477	1.059
1800	54.161	303.669	264.419	70.650	34.695	-38.563	1.119
1900	54.549	306.608	266.563	76.085	34.096	-42.617	1.172
2000	54.896	309.415	268.636	81.558	33.483	-46.638	1.218
2100	55.206	312.101	270.642	87.063	32.854	-50.629	1.259
2200	55.488	314.675	272.585	92.598	32.209	-54.589	1.296
2300	55.744	317.148	274.469	98.160	31.546	-58.520	1.329
2400	55.978	319.525	276.298	103.746	30.866	-62.422	1.359
2500	56.195	321.815	278.073	109.355	30.167	-66.294	1.385
2600	56.395	324.023	279.798	114.985	29.450	-70.139	1.409
2700	56.581	326.155	281.475	120.634	28.713	-73.955	1.431
2800	56.755	328.215	283.108	126.300	27.959	-77.744	1.450
2900	56.918	330.210	284.698	131.984	27.185	-81.505	1.468
3000	57.071	332.142	286.248	137.684	26.393	-85.240	1.484
3100	57.216	334.016	287.758	143.398	25.582	-88.947	1.499
3200	57.353	335.835	289.233	149.127	24.753	-92.629	1.512
3300	57.483	337.601	290.672	154.868	23.905	-96.284	1.524
3400	57.606	339.319	292.077	160.623	23.039	-99.913	1.535
3500	57.723	340.991	293.451	166.389	22.154	-103.517	1.545
3600	57.835	342.619	294.794	172.167	21.252	-107.094	1.554
3700	57.942	344.205	296.108	177.956	20.331	-110.647	1.562
3800	58.044	345.751	297.395	183.756	19.393	-114.174	1.569
3900	58.141	347.260	298.654	189.565	18.436	-117.676	1.576
4000	58.235	348.733	299.888	195.384	17.462	-121.154	1.582
4100	58.324	350.172	301.096	201.212	16.469	-124.607	1.588
4200	58.410	351.579	302.282	207.048	15.459	-128.036	1.592
4300	58.493	352.954	303.444	212.894	14.430	-131.440	1.597
4400	58.573	354.300	304.585	218.747	13.384	-134.821	1.601
4500	58.650	355.617	305.704	224.608	12.320	-138.178	1.604
4600	58.724	356.907	306.803	230.477	11.238	-141.510	1.607
4700	58.796	358.171	307.883	236.353	10.137	-144.819	1.609
4800	58.866	359.409	308.944	242.236	9.018	-148.104	1.612
4900	58.933	360.624	309.986	248.126	7.881	-151.365	1.614
5000	58.999	361.815	311.011	254.022	6.726	-154.603	1.615
5100	59.063	362.984	312.018	259.926	5.552	-157.818	1.616
5200	59.126	364.132	313.009	265.835	4.360	-161.010	1.617
5300	59.187	365.258	313.985	271.751	3.149	-164.179	1.618
5400	59.248	366.365	314.945	277.673	1.919	-167.325	1.619
5500	59.307	367.453	315.889	283.600	0.671	-170.448	1.619
5600	59.365	368.522	316.820	289.534	-0.596	-173.547	1.619
5700	59.423	369.573	317.736	295.473	-1.882	-176.624	1.619
5800	59.480	370.607	318.639	301.418	-3.188	-179.678	1.618
5900	59.536	371.625	319.528	307.369	-4.512	-182.711	1.618
6000	59.593	372.626	320.405	313.326	-5.855	-185.719	1.617
