Silicon Carbide (Si2C)	C1Si2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.389	531.650	531.650	INFINITE
100	34.326	197.543	281.045	-8.350	534.097	515.204	-269.115
200	42.817	224.254	246.492	-4.448	535.316	495.747	-129.476
250	45.453	234.105	243.056	-2.238	535.530	485.825	-101.508
298.15	47.424	242.286	242.286	0.	535.552	476.248	-83.437
300	47.491	242.580	242.287	0.088	535.550	475.880	-82.858
350	49.147	250.029	242.871	2.505	535.427	465.943	-69.538
400	50.550	256.685	244.189	4.998	535.195	456.032	-59.552
450	51.770	262.711	245.918	7.557	534.877	446.155	-51.788
500	52.843	268.222	247.877	10.173	534.487	436.317	-45.582
600	54.631	278.022	252.104	15.550	533.534	416.769	-36.283
700	56.029	286.553	256.429	21.086	532.401	397.395	-29.654
800	57.122	294.108	260.676	26.746	531.122	378.195	-24.694
900	57.979	300.888	264.774	32.503	529.720	359.162	-20.845
1000	58.657	307.033	268.697	38.336	528.208	340.291	-17.775
1100	59.199	312.650	272.441	44.230	526.597	321.576	-15.270
1200	59.640	317.821	276.010	50.172	524.891	303.013	-13.190
1300	60.004	322.609	279.413	56.155	523.093	284.595	-11.435
1400	60.315	327.068	282.659	62.171	521.205	266.319	-9.936
1500	60.592	331.239	285.761	68.217	519.228	248.182	-8.642
1600	60.849	335.157	288.727	74.289	517.163	230.179	-7.515
1700	61.102	338.854	291.568	80.387	414.659	213.201	-6.551
1800	61.363	342.354	294.293	86.510	412.886	201.402	-5.845
1900	61.643	345.679	296.910	92.660	411.118	189.701	-5.215
2000	61.949	348.848	299.429	98.839	409.358	178.093	-4.651
2100	62.289	351.879	301.855	105.051	407.612	166.573	-4.143
2200	62.667	354.785	304.195	111.298	405.884	155.136	-3.683
2300	63.086	357.580	306.456	117.586	404.178	143.776	-3.265
2400	63.546	360.274	308.642	123.917	402.501	132.490	-2.884
2500	64.047	362.879	310.760	130.296	400.856	121.274	-2.534
2600	64.587	365.401	312.813	136.728	399.248	110.123	-2.212
2700	65.162	367.849	314.807	143.215	397.682	99.032	-1.916
2800	65.767	370.230	316.744	149.761	396.161	87.999	-1.642
2900	66.399	372.549	318.628	156.369	394.688	77.020	-1.387
3000	67.050	374.811	320.463	163.042	393.267	66.090	-1.151
3100	67.716	377.020	322.252	169.780	391.898	55.207	-0.930
3200	68.389	379.180	323.998	176.585	390.584	44.367	-0.724
3300	69.065	381.295	325.702	183.458	389.325	33.567	-0.531
3400	69.737	383.367	327.368	190.398	388.122	22.805	-0.350
3500	70.398	385.398	328.997	197.405	386.973	12.077	-0.180
3600	71.045	387.390	330.591	204.477	-382.426	22.303	-0.324
3700	71.672	389.346	332.153	211.613	-382.641	33.548	-0.474
3800	72.275	391.265	333.683	218.811	-382.810	44.799	-0.616
3900	72.849	393.150	335.184	226.067	-382.934	56.054	-0.751
4000	73.393	395.001	336.656	233.379	-383.016	67.311	-0.879
4100	73.902	396.820	338.102	240.744	-383.058	78.570	-1.001
4200	74.376	398.606	339.521	248.159	-383.062	89.829	-1.117
4300	74.812	400.362	340.915	255.618	-383.033	101.088	-1.228
4400	75.209	402.086	342.286	263.120	-382.973	112.346	-1.334
4500	75.568	403.780	343.634	270.659	-382.886	123.602	-1.435
4600	75.888	405.445	344.960	278.232	-382.776	134.856	-1.531
4700	76.169	407.080	346.264	285.835	-382.645	146.108	-1.624
4800	76.411	408.686	347.548	293.464	-382.499	157.356	-1.712
4900	76.617	410.264	348.812	301.116	-382.340	168.602	-1.797
5000	76.787	411.814	350.056	308.787	-382.172	179.844	-1.879
5100	76.923	413.336	351.282	316.472	-381.999	191.082	-1.957
5200	77.025	414.830	352.490	324.170	-381.824	202.318	-2.032
5300	77.097	416.298	353.680	331.876	-381.651	213.550	-2.105
5400	77.139	417.740	354.853	339.588	-381.483	224.778	-2.174
5500	77.153	419.155	356.009	347.303	-381.321	236.004	-2.241
5600	77.142	420.545	357.149	355.018	-381.171	247.226	-2.306
5700	77.108	421.911	358.274	362.731	-381.035	258.446	-2.368
5800	77.051	423.251	359.382	370.439	-380.916	269.664	-2.429
5900	76.974	424.568	360.476	378.140	-380.816	280.880	-2.487
6000	76.880	425.861	361.555	385.833	-380.736	292.095	-2.543
