Calcium Fluoride (CaF)	Ca1F1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.130	-270.942	-270.942	INFINITE
100	29.245	195.821	258.018	-6.220	-270.465	-279.932	146.221
200	31.424	216.653	232.661	-3.201	-271.180	-289.148	75.518
250	32.678	223.804	230.196	-1.598	-271.578	-293.593	61.343
298.15	33.661	229.647	229.647	0.	-271.960	-297.799	52.173
300	33.695	229.855	229.648	0.062	-271.975	-297.959	51.879
350	34.477	235.111	230.061	1.767	-272.370	-302.259	45.110
400	35.075	239.756	230.988	3.507	-272.775	-306.501	40.025
450	35.534	243.914	232.197	5.273	-273.205	-310.692	36.064
500	35.893	247.678	233.560	7.059	-273.671	-314.832	32.890
600	36.409	254.271	236.478	10.676	-274.733	-322.968	28.117
700	36.755	259.911	239.432	14.335	-275.989	-330.910	24.693
800	37.002	264.836	242.307	18.023	-278.299	-338.555	22.105
900	37.188	269.205	245.057	21.733	-279.942	-345.991	20.081
1000	37.335	273.131	247.672	25.460	-281.881	-353.229	18.451
1100	37.454	276.695	250.151	29.199	-284.124	-360.258	17.107
1200	37.556	279.959	252.500	32.950	-294.406	-366.446	15.951
1300	37.644	282.968	254.730	36.710	-296.031	-372.384	14.963
1400	37.722	285.761	256.848	40.478	-297.658	-378.196	14.111
1500	37.793	288.366	258.863	44.254	-299.287	-383.892	13.368
1600	37.860	290.807	260.784	48.037	-300.919	-389.479	12.715
1700	37.922	293.104	262.619	51.826	-302.552	-394.964	12.136
1800	37.983	295.274	264.373	55.621	-452.861	-398.142	11.554
1900	38.043	297.329	266.054	59.423	-453.082	-395.096	10.862
2000	38.103	299.282	267.667	63.230	-453.307	-392.038	10.239
2100	38.165	301.142	269.217	67.043	-453.537	-388.969	9.675
2200	38.230	302.919	270.709	70.863	-453.772	-385.889	9.162
2300	38.300	304.620	272.147	74.689	-454.016	-382.798	8.694
2400	38.375	306.252	273.534	78.523	-454.268	-379.697	8.264
2500	38.457	307.820	274.874	82.364	-454.533	-376.584	7.868
2600	38.548	309.330	276.170	86.215	-454.814	-373.460	7.503
2700	38.647	310.787	277.426	90.074	-455.115	-370.326	7.164
2800	38.757	312.194	278.642	93.944	-455.440	-367.180	6.850
2900	38.877	313.556	279.823	97.826	-455.794	-364.021	6.557
3000	39.009	314.876	280.970	101.720	-456.183	-360.850	6.283
3100	39.153	316.158	282.084	105.628	-456.612	-357.666	6.027
3200	39.309	317.403	283.168	109.551	-457.089	-354.466	5.786
3300	39.476	318.615	284.224	113.490	-457.618	-351.251	5.560
3400	39.657	319.797	285.253	117.447	-458.207	-348.019	5.347
3500	39.849	320.949	286.257	121.422	-458.860	-344.769	5.145
3600	40.053	322.074	287.236	125.417	-459.585	-341.499	4.955
3700	40.269	323.175	288.193	129.433	-460.387	-338.208	4.775
3800	40.496	324.251	289.127	133.471	-461.269	-334.895	4.603
3900	40.734	325.306	290.042	137.533	-462.238	-331.556	4.441
4000	40.982	326.341	290.936	141.619	-463.297	-328.192	4.286
4100	41.239	327.356	291.812	145.730	-464.448	-324.801	4.138
4200	41.506	328.353	292.670	149.867	-465.695	-321.380	3.997
4300	41.781	329.333	293.512	154.031	-467.038	-317.928	3.862
4400	42.063	330.296	294.337	158.223	-468.476	-314.444	3.733
4500	42.352	331.245	295.146	162.444	-469.996	-310.927	3.609
4600	42.648	332.179	295.941	166.694	-471.619	-307.375	3.490
4700	42.949	333.099	296.722	170.974	-473.338	-303.786	3.376
4800	43.254	334.007	297.489	175.284	-475.149	-300.160	3.266
4900	43.564	334.902	298.244	179.625	-477.046	-296.495	3.161
5000	43.878	335.785	298.986	183.997	-479.026	-292.790	3.059
5100	44.194	336.657	299.716	188.400	-481.086	-289.045	2.960
5200	44.512	337.518	300.435	192.835	-483.215	-285.259	2.865
5300	44.831	338.369	301.142	197.303	-485.417	-281.432	2.774
5400	45.152	339.210	301.840	201.802	-487.682	-277.562	2.685
5500	45.473	340.042	302.527	206.333	-490.004	-273.649	2.599
5600	45.793	340.864	303.204	210.896	-492.368	-269.695	2.516
5700	46.112	341.677	303.872	215.492	-494.785	-265.698	2.435
5800	46.430	342.482	304.531	220.119	-497.242	-261.657	2.356
5900	46.747	343.278	305.181	224.778	-499.731	-257.574	2.280
6000	47.060	344.067	305.822	229.468	-502.247	-253.448	2.206
