Iron Chloride (FeCl2)	Cl2Fe1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-14.277	-141.590	-141.590	INFINITE
100	45.723	242.588	347.586	-10.500	-141.148	-145.899	76.210
200	53.738	277.015	304.447	-5.486	-140.941	-150.761	39.375
250	56.054	289.272	300.223	-2.738	-140.949	-153.217	32.013
298.15	57.570	299.283	299.283	0.	-141.001	-155.575	27.256
300	57.618	299.639	299.284	0.107	-141.004	-155.666	27.104
350	58.695	308.607	299.990	3.016	-141.099	-158.102	23.595
400	59.456	316.497	301.570	5.971	-141.237	-160.522	20.962
450	60.010	323.534	303.626	8.958	-141.423	-162.922	18.912
500	60.425	329.879	305.940	11.970	-141.662	-165.299	17.269
600	60.999	340.950	310.879	18.043	-142.307	-169.969	14.797
700	61.392	350.384	315.865	24.163	-143.184	-174.514	13.022
800	61.713	358.603	320.705	30.319	-144.343	-178.914	11.682
900	62.022	365.890	325.328	36.506	-145.905	-183.147	10.630
1000	62.346	372.441	329.717	42.724	-148.171	-187.173	9.777
1100	62.695	378.399	333.876	48.976	-151.312	-190.907	9.065
1200	63.067	383.870	337.817	55.263	-153.876	-194.412	8.463
1300	63.456	388.934	341.557	61.590	-154.766	-197.754	7.946
1400	63.852	393.651	345.111	67.955	-155.709	-201.026	7.500
1500	64.244	398.069	348.496	74.360	-156.706	-204.229	7.112
1600	64.625	402.228	351.726	80.803	-157.757	-207.363	6.770
1700	64.986	406.157	354.813	87.284	-159.813	-210.411	6.465
1800	65.322	409.881	357.770	93.800	-161.311	-213.344	6.191
1900	65.630	413.421	360.606	100.348	-176.969	-215.491	5.924
2000	65.907	416.795	363.332	106.925	-178.831	-217.470	5.680
2100	66.152	420.016	365.955	113.528	-180.679	-219.356	5.456
2200	66.364	423.099	368.483	120.154	-182.516	-221.155	5.251
2300	66.545	426.053	370.922	126.800	-184.347	-222.870	5.062
2400	66.696	428.888	373.279	133.462	-186.176	-224.506	4.886
2500	66.819	431.613	375.558	140.138	-188.007	-226.066	4.723
2600	66.915	434.236	377.765	146.825	-189.845	-227.552	4.572
2700	66.987	436.763	379.904	153.520	-191.692	-228.967	4.430
2800	67.038	439.200	381.978	160.222	-193.552	-230.313	4.297
2900	67.068	441.553	383.992	166.927	-195.427	-231.593	4.171
3000	67.081	443.827	385.949	173.635	-197.319	-232.808	4.054
3100	67.079	446.027	387.851	180.343	-199.231	-233.960	3.942
3200	67.063	448.156	389.703	187.050	-549.462	-227.626	3.716
3300	67.035	450.219	391.506	193.755	-549.512	-217.567	3.444
3400	66.997	452.220	393.262	200.457	-549.616	-207.507	3.188
3500	66.950	454.161	394.974	207.154	-549.772	-197.443	2.947
3600	66.896	456.047	396.645	213.846	-549.980	-187.373	2.719
3700	66.836	457.879	398.275	220.533	-550.240	-177.298	2.503
3800	66.771	459.660	399.867	227.213	-550.551	-167.214	2.299
3900	66.701	461.394	401.423	233.887	-550.912	-157.122	2.104
4000	66.628	463.082	402.943	240.554	-551.321	-147.019	1.920
4100	66.553	464.726	404.430	247.213	-551.778	-136.906	1.744
4200	66.476	466.329	405.885	253.864	-552.280	-126.781	1.577
4300	66.397	467.892	407.309	260.508	-552.826	-116.644	1.417
4400	66.318	469.418	408.703	267.143	-553.416	-106.494	1.264
4500	66.238	470.907	410.069	273.771	-554.047	-96.329	1.118
4600	66.158	472.362	411.407	280.391	-554.718	-86.150	0.978
4700	66.078	473.784	412.719	287.003	-555.429	-75.957	0.844
4800	65.998	475.174	414.006	293.607	-556.177	-65.747	0.715
4900	65.920	476.534	415.268	300.202	-556.963	-55.522	0.592
5000	65.842	477.865	416.507	306.791	-557.786	-45.280	0.473
5100	65.765	479.168	417.723	313.371	-558.644	-35.021	0.359
5200	65.690	480.445	418.917	319.944	-559.539	-24.746	0.249
5300	65.616	481.695	420.090	326.509	-560.469	-14.452	0.142
5400	65.543	482.921	421.242	333.067	-561.436	-4.141	0.040
5500	65.471	484.123	422.374	339.618	-562.439	6.188	-0.059
5600	65.401	485.302	423.488	346.161	-563.480	16.536	-0.154
5700	65.333	486.459	424.582	352.698	-564.560	26.903	-0.247
5800	65.266	487.595	425.659	359.228	-565.680	37.290	-0.336
5900	65.201	488.710	426.718	365.751	-566.842	47.696	-0.422
6000	65.137	489.805	427.760	372.268	-568.048	58.121	-0.506
