Sulfuryl Chloride (SO2Cl2)	Cl2O2S1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-16.028	-348.555	-348.555	INFINITE
100	43.179	245.860	370.394	-12.453	-351.487	-338.589	176.861
200	64.505	282.771	317.789	-7.004	-353.628	-324.765	84.820
250	71.750	297.982	312.336	-3.589	-354.309	-317.466	66.331
298.15	77.095	311.095	311.095	0.	-354.803	-310.323	54.367
300	77.276	311.573	311.097	0.143	-354.820	-310.047	53.984
350	81.651	323.826	312.055	4.120	-355.204	-302.553	45.154
400	85.216	334.969	314.233	8.294	-357.706	-294.923	38.513
450	88.175	345.182	317.112	12.631	-358.588	-287.030	33.318
500	90.655	354.604	320.396	17.104	-359.455	-279.030	29.150
600	94.520	371.494	327.538	26.373	-360.562	-262.831	22.881
700	97.321	386.286	334.896	35.973	-361.236	-246.485	18.393
800	99.387	399.423	342.156	45.813	-361.643	-230.062	15.021
900	100.940	411.223	349.186	55.833	-415.006	-212.518	12.334
1000	102.128	421.922	355.933	65.989	-413.905	-190.078	9.929
1100	103.052	431.701	362.383	76.250	-412.775	-167.749	7.966
1200	103.783	440.700	368.539	86.593	-411.629	-145.525	6.335
1300	104.370	449.031	374.414	97.002	-410.478	-123.396	4.958
1400	104.847	456.784	380.024	107.463	-409.330	-101.356	3.782
1500	105.240	464.031	385.386	117.968	-408.190	-79.398	2.765
1600	105.566	470.834	390.516	128.509	-407.065	-57.515	1.878
1700	105.840	477.242	395.431	139.080	-405.957	-35.702	1.097
1800	106.073	483.299	400.146	149.676	-404.871	-13.954	0.405
1900	106.271	489.039	404.675	160.293	-403.810	7.735	-0.213
2000	106.442	494.495	409.030	170.929	-402.775	29.368	-0.767
2100	106.590	499.692	413.225	181.581	-401.770	50.950	-1.267
2200	106.719	504.653	417.269	192.246	-400.796	72.486	-1.721
2300	106.833	509.400	421.172	202.924	-399.855	93.977	-2.134
2400	106.933	513.949	424.944	213.613	-398.949	115.428	-2.512
2500	107.021	518.316	428.592	224.310	-398.080	136.843	-2.859
2600	107.100	522.515	432.124	235.016	-397.247	158.223	-3.179
2700	107.170	526.558	435.547	245.730	-396.453	179.573	-3.474
2800	107.233	530.457	438.867	256.450	-395.697	200.893	-3.748
2900	107.290	534.221	442.091	267.176	-394.980	222.186	-4.002
3000	107.342	537.859	445.223	277.908	-394.302	243.457	-4.239
3100	107.388	541.379	448.268	288.645	-393.662	264.705	-4.460
3200	107.431	544.790	451.232	299.386	-393.058	285.932	-4.667
3300	107.469	548.096	454.117	310.131	-392.490	307.142	-4.862
3400	107.505	551.305	456.929	320.879	-391.956	328.335	-5.044
3500	107.537	554.422	459.670	331.632	-391.454	349.512	-5.216
3600	107.567	557.451	462.344	342.387	-390.981	370.676	-5.378
3700	107.594	560.399	464.955	353.145	-390.535	391.827	-5.532
3800	107.620	563.269	467.504	363.906	-390.115	412.967	-5.677
3900	107.643	566.065	469.996	374.669	-389.716	434.095	-5.814
4000	107.665	568.790	472.432	385.434	-389.338	455.214	-5.944
4100	107.685	571.449	474.814	396.202	-388.976	476.323	-6.068
4200	107.704	574.044	477.146	406.971	-388.628	497.423	-6.186
4300	107.721	576.579	479.429	417.742	-388.293	518.516	-6.299
4400	107.738	579.055	481.665	428.515	-387.966	539.601	-6.406
4500	107.753	581.477	483.857	439.290	-387.647	560.678	-6.508
4600	107.767	583.845	486.005	450.066	-387.333	581.748	-6.606
4700	107.781	586.163	488.111	460.843	-387.023	602.812	-6.699
4800	107.793	588.432	490.178	471.622	-386.714	623.869	-6.789
4900	107.805	590.655	492.205	482.402	-386.406	644.920	-6.875
5000	107.816	592.833	494.196	493.183	-386.096	665.964	-6.957
5100	107.827	594.968	496.151	503.965	-385.784	687.003	-7.036
5200	107.836	597.062	498.072	514.748	-385.470	708.034	-7.112
5300	107.846	599.116	499.959	525.532	-385.152	729.060	-7.185
5400	107.855	601.132	501.814	536.317	-384.831	750.080	-7.256
5500	107.863	603.111	503.638	547.103	-384.506	771.093	-7.323
5600	107.871	605.055	505.432	557.890	-384.177	792.102	-7.388
5700	107.878	606.964	507.196	568.678	-383.845	813.104	-7.451
5800	107.885	608.840	508.933	579.466	-383.509	834.101	-7.512
5900	107.892	610.685	510.642	590.255	-383.171	855.089	-7.570
6000	107.899	612.498	512.324	601.044	-382.832	876.075	-7.627
