Chromium Nitride (CrN)	Cr1N1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-7.705	-116.465	-116.465	INFINITE
100	9.985	3.850	78.059	-7.421	-117.943	-109.909	57.410
200	29.126	16.556	43.947	-5.478	-119.039	-101.378	26.477
298.15	52.677	37.711	37.711	0.	-117.152	-92.790	16.256
300	51.393	38.033	37.712	0.096	-117.126	-92.639	16.130
400	49.078	51.780	39.599	4.873	-116.350	-84.587	11.046
500	49.748	62.804	43.176	9.814	-115.475	-76.749	8.018
600	50.417	71.933	47.229	14.822	-114.678	-69.080	6.014
700	51.087	79.756	51.330	19.898	-113.938	-61.539	4.592
800	51.714	86.618	55.321	25.037	-113.252	-54.101	3.532
900	52.384	92.748	59.145	30.242	-112.630	-46.745	2.713
1000	53.053	98.301	62.787	35.514	-112.094	-39.455	2.061
1100	53.723	103.389	66.250	40.853	-111.670	-32.212	1.530
1200	54.392	108.093	69.544	46.259	-111.369	-25.003	1.088
1300	55.020	112.471	72.679	51.729	-111.211	-17.813	0.716
1400	55.689	116.573	75.669	57.264	-111.204	-10.630	0.397
1500	56.379	120.439	78.526	62.868	-111.350	-3.442	0.120
1600	57.028	124.098	81.261	68.538	-111.655	3.761	-0.123
1700	57.697	127.575	83.884	74.275	-112.123	10.988	-0.338
1800	58.367	130.892	86.404	80.078	-112.755	18.247	-0.530
1900	59.078	134.066	88.830	85.949	-113.550	25.546	-0.702
2000	59.831	137.117	91.168	91.897	-114.504	32.891	-0.859
2100	60.375	140.049	93.427	97.906	-115.632	40.287	-1.002
2200	61.003	142.872	95.610	103.974	-136.273	48.397	-1.149
2300	61.714	145.599	97.725	110.110	-135.887	56.783	-1.290
2400	62.467	148.242	99.775	116.320	-135.433	65.150	-1.418
2500	63.074	150.805	101.765	122.598	-134.915	73.497	-1.536
