Potassium Fluoride (KF)	F1K1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-10.000	-567.111	-567.111	INFINITE
100	31.606	20.497	107.023	-8.653	-568.949	-558.920	291.950
200	45.187	47.660	70.944	-4.657	-569.013	-548.781	143.327
298.15	48.982	66.547	66.547	0.	-568.606	-538.934	94.419
300	49.022	66.850	66.547	0.091	-568.599	-538.750	93.805
400	51.045	81.245	68.496	5.099	-570.678	-528.399	69.002
500	52.718	92.820	72.240	10.290	-570.278	-517.872	54.102
600	54.266	102.571	76.504	15.640	-569.704	-507.442	44.177
700	55.856	111.056	80.846	21.147	-568.969	-497.121	37.096
800	57.404	118.614	85.103	26.808	-568.089	-486.915	31.792
900	59.078	125.468	89.213	32.630	-567.077	-476.828	27.674
1000	61.170	131.797	93.159	38.639	-565.926	-466.860	24.386
1100	63.848	137.748	96.944	44.884	-643.560	-452.406	21.483
1131.000	64.852	139.536	98.087	46.878	CRYSTAL <--> LIQUID
1200	66.777	143.436	100.583	51.423	640.972  435.140 18.941
1300	68.618	148.858	104.090	58.198	-638.160	-418.101	16.799
1400	69.789	153.989	107.472	65.123	-635.210	-401.283	14.972
1500	70.500	158.830	110.736	72.140	-632.178	-384.679	13.396
1600	70.919	163.394	113.886	79.212	-629.101	-368.280	12.023
1700	71.128	167.701	116.926	86.316	-626.002	-352.073	10.818
1800	71.128	171.766	119.861	93.429	-622.904	-336.049	9.752
1900	71.128	175.612	122.695	100.542	-619.816	-320.197	8.803
2000	71.128	179.260	125.433	107.655	-616.738	-304.507	7.953
