Phosphorus Fluoride, Ion (PF2-)	F2P1-(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.215	-630.010				
100	34.601	215.028	293.664	-7.864						
200	39.722	240.527	261.304	-4.155						
250	42.421	249.683	258.088	-2.101						
298.15	44.817	257.364	257.364	0.	-639.177	-636.946	111.590
300	44.903	257.641	257.365	0.083	-639.235	-636.932	110.900
350	47.035	264.728	257.919	2.383	-641.499	-636.355	94.971
400	48.802	271.128	259.177	4.780	-643.087	-635.512	82.989
450	50.242	276.962	260.834	7.258	-644.632	-634.471	73.648
500	51.412	282.318	262.718	9.800	-646.144	-633.261	66.156
600	53.142	291.855	266.799	15.034	-649.096	-630.406	54.882
700	54.315	300.141	270.983	20.410	-651.982	-627.062	46.792
800	55.137	307.450	275.094	25.885	-654.828	-623.308	40.698
900	55.729	313.980	279.058	31.430	-657.648	-619.198	35.937
1000	56.169	319.876	282.850	37.026	-660.453	-614.775	32.113
1100	56.503	325.246	286.464	42.660	-663.250	-610.072	28.970
1200	56.762	330.174	289.904	48.324	-729.615	-604.036	26.293
1300	56.966	334.725	293.179	54.011	-731.634	-593.489	23.847
1400	57.131	338.953	296.299	59.716	-733.661	-582.787	21.744
1500	57.265	342.900	299.276	65.436	-735.697	-571.939	19.917
1600	57.375	346.599	302.119	71.168	-737.742	-560.955	18.313
1700	57.467	350.080	304.839	76.910	-739.798	-549.843	16.895
1800	57.545	353.367	307.444	82.661	-741.862	-538.610	15.630
1900	57.611	356.480	309.944	88.419	-743.933	-527.262	14.495
2000	57.667	359.437	312.345	94.183	-746.010	-515.804	13.471
2100	57.716	362.252	314.655	99.952	-748.090	-504.243	12.542
2200	57.759	364.938	316.880	105.726	-750.170	-492.582	11.695
2300	57.796	367.506	319.026	111.504	-752.246	-480.827	10.920
2400	57.829	369.966	321.098	117.285	-754.316	-468.982	10.207
2500	57.857	372.328	323.100	123.069	-756.376	-457.050	9.550
2600	57.883	374.597	325.037	128.856	-758.422	-445.037	8.941
2700	57.906	376.782	326.914	134.646	-760.452	-432.945	8.376
2800	57.927	378.889	328.732	140.437	-762.462	-420.778	7.850
2900	57.945	380.922	330.497	146.231	-764.450	-408.540	7.359
3000	57.962	382.886	332.211	152.026	-766.413	-396.234	6.899
3100	57.977	384.787	333.877	157.823	-768.350	-383.863	6.468
3200	57.990	386.628	335.496	163.622	-770.257	-371.429	6.063
3300	58.003	388.413	337.073	169.421	-772.135	-358.937	5.681
3400	58.014	390.145	338.609	175.222	-773.981	-346.388	5.322
3500	58.025	391.826	340.105	181.024	-775.795	-333.785	4.981
3600	58.034	393.461	341.565	186.827	-777.576	-321.131	4.659
3700	58.043	395.051	342.989	192.631	-779.324	-308.428	4.354
3800	58.051	396.599	344.379	198.436	-781.038	-295.678	4.064
3900	58.059	398.107	345.738	204.241	-782.718	-282.883	3.789
4000	58.066	399.577	347.066	210.047	-784.365	-270.046	3.526
4100	58.072	401.011	348.364	215.854	-785.978	-257.168	3.276
4200	58.078	402.411	349.634	221.662	-787.559	-244.251	3.038
4300	58.084	403.777	350.877	227.470	-789.107	-231.297	2.810
4400	58.089	405.113	352.095	233.279	-790.622	-218.307	2.592
4500	58.094	406.418	353.288	239.088	-792.106	-205.283	2.383
4600	58.099	407.695	354.457	244.897	-793.560	-192.226	2.183
4700	58.103	408.945	355.603	250.708	-794.983	-179.138	1.991
4800	58.107	410.168	356.727	256.518	-796.377	-166.020	1.807
4900	58.111	411.366	357.830	262.329	-797.743	-152.874	1.630
5000	58.114	412.540	358.912	268.140	-799.081	-139.700	1.459
5100	58.118	413.691	359.975	273.952	-800.391	-126.499	1.296
5200	58.121	414.820	361.019	279.764	-801.676	-113.272	1.138
5300	58.124	415.927	362.044	285.576	-802.935	-100.022	0.986
5400	58.127	417.013	363.052	291.389	-804.169	-86.748	0.839
5500	58.129	418.080	364.043	297.201	-805.380	-73.451	0.698
5600	58.132	419.127	365.018	303.014	-806.567	-60.133	0.561
5700	58.134	420.156	365.976	308.828	-807.732	-46.793	0.429
5800	58.137	421.167	366.919	314.641	-808.875	-33.434	0.301
5900	58.139	422.161	367.847	320.455	-809.998	-20.054	0.178
6000	58.141	423.138	368.760	326.269	-811.100	-6.656	0.058
