Lithium Hydroxide ((LiOH)2)	H2Li2O2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-14.502	-699.387	-699.387	INFINITE
100	37.588	212.012	323.024	-11.101	-702.880	-695.209	363.140
200	57.261	244.155	275.895	-6.348	-707.415	-685.736	179.096
250	65.023	257.797	270.933	-3.284	-709.461	-680.076	142.094
298.15	71.223	269.794	269.794	0.	-711.280	-674.249	118.126
300	71.443	270.235	269.795	0.132	-711.347	-674.019	117.357
350	76.958	281.672	270.686	3.845	-713.085	-667.659	99.643
400	81.765	292.270	272.730	7.816	-714.741	-661.056	86.325
450	85.956	302.148	275.456	12.011	-716.370	-654.247	75.943
500	89.602	311.397	278.592	16.402	-724.002	-646.643	67.554
600	95.542	328.283	285.495	25.673	-726.787	-630.900	54.925
700	100.130	343.370	292.704	35.466	-729.036	-614.734	45.872
800	103.799	356.988	299.902	45.669	-730.916	-598.274	39.063
900	106.840	369.395	306.945	56.205	-732.542	-581.594	33.755
1000	109.432	380.789	313.767	67.022	-733.963	-564.744	29.499
1100	111.684	391.327	320.345	78.080	-735.215	-547.760	26.011
1200	113.662	401.131	326.674	89.349	-736.324	-530.668	23.099
1300	115.412	410.300	332.758	100.805	-737.317	-513.489	20.632
1400	116.966	418.911	338.607	112.425	-738.207	-496.238	18.515
1500	118.349	427.029	344.234	124.192	-739.004	-478.926	16.678
1600	119.583	434.707	349.650	136.090	-739.723	-461.564	15.069
1700	120.685	441.990	354.870	148.105	-1030.849	-429.806	13.206
1800	121.671	448.917	359.904	160.223	-1029.941	-394.477	11.447
1900	122.554	455.519	364.764	172.435	-1029.005	-359.199	9.875
2000	123.348	461.826	369.460	184.731	-1028.049	-323.971	8.461
2100	124.062	467.862	374.004	197.102	-1027.081	-288.791	7.183
2200	124.705	473.648	378.402	209.541	-1026.110	-253.656	6.023
2300	125.287	479.205	382.665	222.041	-1025.142	-218.567	4.964
2400	125.813	484.548	386.799	234.597	-1024.183	-183.519	3.994
2500	126.291	489.694	390.813	247.202	-1023.240	-148.511	3.103
2600	126.725	494.656	394.712	259.854	-1022.319	-113.540	2.281
2700	127.121	499.446	398.503	272.546	-1021.425	-78.604	1.521
2800	127.482	504.076	402.191	285.277	-1020.564	-43.700	0.815
2900	127.813	508.555	405.782	298.042	-1019.741	-8.827	0.159
3000	128.116	512.893	409.281	310.838	-1018.961	26.019	-0.453
3100	128.395	517.099	412.691	323.664	-1018.227	60.840	-1.025
3200	128.651	521.179	416.018	336.517	-1017.546	95.636	-1.561
3300	128.888	525.142	419.265	349.394	-1016.919	130.413	-2.064
3400	129.106	528.993	422.436	362.293	-1016.352	165.173	-2.538
3500	129.308	532.738	425.534	375.214	-1015.849	199.916	-2.984
3600	129.495	536.384	428.563	388.155	-1015.412	234.646	-3.405
3700	129.669	539.934	431.525	401.113	-1015.046	269.364	-3.803
3800	129.831	543.394	434.424	414.088	-1014.753	304.074	-4.180
3900	129.981	546.769	437.261	427.079	-1014.538	338.778	-4.537
4000	130.122	550.061	440.040	440.084	-1014.403	373.476	-4.877
4100	130.253	553.276	442.763	453.103	-1014.351	408.172	-5.200
4200	130.376	556.416	445.432	466.134	-1014.387	442.868	-5.508
4300	130.491	559.485	448.049	479.178	-1014.513	477.566	-5.801
4400	130.598	562.487	450.616	492.232	-1014.690	512.264	-6.081
4500	130.700	565.423	453.134	505.297	-1014.986	546.970	-6.349
4600	130.795	568.296	455.607	518.372	-1015.385	581.684	-6.605
4700	130.884	571.110	458.034	531.456	-1015.884	616.408	-6.851
4800	130.968	573.867	460.419	544.549	-1016.487	651.144	-7.086
4900	131.048	576.568	462.762	557.649	-1017.197	685.894	-7.312
5000	131.123	579.216	465.065	570.758	-1018.017	720.660	-7.529
5100	131.194	581.813	467.328	583.874	-1018.940	755.441	-7.737
5200	131.261	584.362	469.555	596.997	-1019.988	790.242	-7.938
5300	131.325	586.863	471.744	610.126	-1021.157	825.066	-8.132
5400	131.385	589.318	473.899	623.261	-1022.450	859.912	-8.318
5500	131.442	591.729	476.020	636.403	-1023.870	894.783	-8.498
5600	131.496	594.098	478.107	649.550	-1025.421	929.682	-8.672
5700	131.548	596.426	480.162	662.702	-1027.107	964.609	-8.840
5800	131.597	598.714	482.187	675.859	-1028.930	999.568	-9.002
5900	131.643	600.964	484.181	689.021	-1030.895	1034.557	-9.159
6000	131.688	603.177	486.146	702.188	-1033.005	1069.583	-9.312
