Lithium Titanium Oxide (Li2TiO3)	Li2O3Ti1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-16.493	-1660.065	-1660.065	INFINITE
100	31.142	14.129	169.105	-15.498	-1664.977	-1638.099	855.655
200	82.663	52.886	101.316	-9.686	-1669.132	-1609.488	420.355
298.15	109.855	91.755	91.755	0.	-1670.671	-1579.767	276.769
300	110.750	92.437	91.757	0.204	-1670.687	-1579.203	274.964
400	127.361	126.619	96.309	12.124	-1671.038	-1548.635	202.231
500	135.645	156.002	105.388	25.307	-1677.049	-1517.421	158.524
600	141.503	181.283	115.979	39.182	-1676.706	-1485.520	129.326
700	145.854	203.436	126.924	53.559	-1675.949	-1453.710	108.477
800	149.034	223.130	137.741	68.311	-1674.920	-1422.030	92.849
900	151.670	240.839	148.229	83.349	-1673.763	-1390.488	80.702
1000	153.888	256.936	158.307	98.628	-1672.570	-1359.077	70.991
1100	155.812	271.696	167.954	114.117	-1671.422	-1327.783	63.051
1200	157.318	285.322	177.174	129.778	-1674.331	-1296.471	56.434
1300	158.490	297.965	185.985	145.574	-1672.635	-1265.052	50.830
1400	159.494	309.751	194.410	161.478	-1670.942	-1233.763	46.032
1485.000	160.344	319.174	201.284	175.067	ALPHA <--> BETA
1485.000	176.063	326.922	201.284	186.573	TRANSITION
1500	176.565	328.694	202.549	189.218	-1657.529	-1202.712	41.882
1600	179.912	340.196	210.795	207.042	-1654.160	-1172.500	38.278
1700	183.259	351.204	218.733	225.200	-1941.066	-1128.152	34.664
1800	186.606	361.773	226.388	243.693	-1935.811	-1080.485	31.355
1820.000	187.276	363.839	227.887	247.432	BETA <--> LIQUID
1900	189.954	371.952	233.783	262.521	1930.404  1033.113 28.402
2000	193.301	381.781	240.939	281.684	-1939.544	-985.576	25.741
2100	196.648	391.293	247.873	301.182	-1934.622	-937.998	23.331
2200	199.995	400.518	254.603	321.014	-1929.406	-890.660	21.147
2300	203.342	409.482	261.143	341.181	-1923.899	-843.567	19.158
2400	206.690	418.207	267.506	361.682	-1918.103	-796.720	17.340
2500	210.037	426.712	273.705	382.519	-1912.021	-750.119	15.673
2600	213.384	435.015	279.750	403.690	-1905.654	-703.768	14.139
2700	216.731	443.131	285.652	425.195	-1899.005	-657.666	12.723
2800	220.078	451.074	291.418	447.036	-1892.077	-611.816	11.414
2900	223.426	458.855	297.058	469.211	-1884.873	-566.220	10.199
3000	226.773	466.486	302.579	491.721	-1877.394	-520.876	9.069
