Oxygen, Ion (O2-)	O2-(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.752	-42.464				
100	29.110	177.477	235.940	-5.846						
200	29.353	197.692	212.335	-2.929						
250	29.818	204.287	210.089	-1.451						
298.15	30.453	209.591	209.591	0.	-48.593	-43.663	7.650
300	30.480	209.780	209.592	0.056	-48.629	-43.633	7.597
350	31.224	214.534	209.966	1.599	-49.603	-42.723	6.376
400	31.962	218.752	210.805	3.179	-50.557	-41.674	5.442
450	32.648	222.557	211.903	4.794	-51.498	-40.507	4.702
500	33.262	226.029	213.144	6.442	-52.431	-39.236	4.099
600	34.271	232.187	215.818	9.821	-54.290	-36.422	3.171
700	35.032	237.530	218.546	13.288	-56.156	-33.297	2.485
800	35.609	242.247	221.220	16.821	-58.038	-29.904	1.953
900	36.055	246.468	223.795	20.406	-59.938	-26.273	1.525
1000	36.407	250.285	226.256	24.029	-61.855	-22.430	1.172
1100	36.691	253.769	228.601	27.685	-63.787	-18.393	0.873
1200	36.926	256.972	230.834	31.366	-65.734	-14.181	0.617
1300	37.123	259.936	232.960	35.069	-67.693	-9.805	0.394
1400	37.293	262.693	234.986	38.790	-69.664	-5.279	0.197
1500	37.441	265.271	236.920	42.527	-71.647	-0.611	0.021
1600	37.572	267.692	238.769	46.277	-73.642	4.190	-0.137
1700	37.690	269.973	240.538	50.041	-75.649	9.116	-0.280
1800	37.798	272.131	242.234	53.815	-77.669	14.160	-0.411
1900	37.897	274.177	243.861	57.600	-79.702	19.317	-0.531
2000	37.989	276.123	245.426	61.394	-81.749	24.582	-0.642
2100	38.075	277.979	246.933	65.197	-83.810	29.949	-0.745
2200	38.157	279.752	248.384	69.009	-85.885	35.415	-0.841
2300	38.234	281.450	249.785	72.829	-87.975	40.975	-0.931
2400	38.308	283.079	251.139	76.656	-90.079	46.626	-1.015
2500	38.380	284.644	252.448	80.490	-92.198	52.366	-1.094
2600	38.448	286.151	253.715	84.332	-94.332	58.190	-1.169
2700	38.515	287.603	254.944	88.180	-96.479	64.098	-1.240
2800	38.580	289.005	256.135	92.035	-98.641	70.085	-1.307
2900	38.644	290.360	257.292	95.896	-100.816	76.148	-1.372
3000	38.706	291.671	258.416	99.763	-103.004	82.288	-1.433
3100	38.767	292.941	259.510	103.637	-105.204	88.501	-1.491
3200	38.826	294.173	260.574	107.517	-107.417	94.784	-1.547
3300	38.885	295.368	261.610	111.402	-109.641	101.137	-1.601
3400	38.943	296.530	262.620	115.294	-111.876	107.558	-1.652
3500	39.001	297.660	263.605	119.191	-114.121	114.045	-1.702
3600	39.057	298.759	264.567	123.094	-116.376	120.596	-1.750
3700	39.113	299.830	265.505	127.002	-118.641	127.209	-1.796
3800	39.169	300.874	266.422	130.916	-120.914	133.885	-1.840
3900	39.224	301.892	267.319	134.836	-123.195	140.620	-1.883
4000	39.279	302.886	268.196	138.761	-125.484	147.413	-1.925
4100	39.333	303.857	269.054	142.692	-127.780	154.264	-1.965
4200	39.387	304.805	269.894	146.628	-130.084	161.171	-2.004
4300	39.440	305.732	270.716	150.569	-132.395	168.133	-2.042
4400	39.494	306.640	271.523	154.516	-134.713	175.149	-2.079
4500	39.547	307.528	272.313	158.468	-137.037	182.217	-2.115
4600	39.599	308.398	273.088	162.425	-139.369	189.337	-2.150
4700	39.652	309.250	273.848	166.387	-141.708	196.508	-2.184
4800	39.704	310.085	274.594	170.355	-144.053	203.729	-2.217
4900	39.756	310.904	275.327	174.328	-146.407	210.999	-2.249
5000	39.808	311.708	276.047	178.307	-148.768	218.317	-2.281
5100	39.860	312.497	276.754	182.290	-151.138	225.683	-2.311
5200	39.912	313.271	277.449	186.279	-153.516	233.094	-2.341
5300	39.963	314.032	278.132	190.272	-155.904	240.552	-2.371
5400	40.015	314.780	278.803	194.271	-158.302	248.054	-2.399
5500	40.066	315.514	279.464	198.275	-160.711	255.601	-2.427
5600	40.117	316.237	280.114	202.285	-163.131	263.193	-2.455
5700	40.168	316.947	280.754	206.299	-165.565	270.827	-2.482
5800	40.219	317.646	281.385	210.318	-168.011	278.505	-2.508
5900	40.270	318.334	282.005	214.343	-170.473	286.223	-2.534
6000	40.321	319.011	282.616	218.372	-172.950	293.986	-2.559
