Zirconium Oxide (ZrO2)	O2Zr1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.008	-284.013	-284.013	INFINITE
100	39.345	227.980	312.150	-8.417	-284.213	-288.275	150.579
200	42.320	256.161	277.836	-4.335	-285.235	-291.960	76.252
250	44.193	265.801	274.494	-2.173	-285.747	-293.581	61.340
298.15	46.061	273.746	273.746	0.	-286.186	-295.049	51.691
300	46.131	274.031	273.747	0.085	-286.201	-295.105	51.382
350	47.910	281.279	274.315	2.437	-286.597	-296.556	44.259
400	49.444	287.779	275.599	4.872	-286.945	-297.955	38.909
450	50.727	293.679	277.285	7.377	-287.262	-299.312	34.743
500	51.787	299.081	279.198	9.941	-287.560	-300.635	31.407
600	53.383	308.673	283.332	15.205	-288.147	-303.195	26.395
700	54.482	316.990	287.559	20.601	-288.772	-305.654	22.808
800	55.258	324.318	291.705	26.090	-289.469	-308.019	20.112
900	55.822	330.861	295.699	31.646	-290.267	-310.291	18.009
1000	56.242	336.765	299.515	37.250	-291.180	-312.468	16.322
1100	56.561	342.141	303.149	42.891	-292.220	-314.548	14.937
1200	56.810	347.074	306.607	48.560	-297.101	-316.305	13.768
1300	57.007	351.629	309.897	54.251	-297.862	-317.875	12.772
1400	57.165	355.860	313.031	59.960	-298.677	-319.384	11.916
1500	57.294	359.808	316.019	65.683	-299.559	-320.833	11.172
1600	57.401	363.509	318.873	71.418	-300.518	-322.221	10.519
1700	57.490	366.992	321.602	77.163	-301.566	-323.545	9.941
1800	57.565	370.280	324.216	82.916	-302.714	-324.806	9.426
1900	57.629	373.394	326.723	88.676	-303.975	-325.999	8.962
2000	57.684	376.352	329.131	94.441	-305.358	-327.123	8.544
2100	57.731	379.167	331.447	100.212	-306.876	-328.175	8.163
2200	57.772	381.854	333.678	105.987	-329.863	-328.404	7.797
2300	57.808	384.423	335.829	111.766	-332.098	-328.289	7.456
2400	57.840	386.884	337.905	117.549	-334.353	-328.075	7.140
2500	57.868	389.246	339.912	123.334	-336.626	-327.767	6.848
2600	57.893	391.516	341.853	129.122	-338.918	-327.367	6.577
2700	57.915	393.701	343.733	134.912	-341.229	-326.879	6.324
2800	57.935	395.808	345.556	140.705	-343.559	-326.305	6.087
2900	57.952	397.841	347.324	146.499	-345.906	-325.648	5.866
3000	57.969	399.806	349.041	152.295	-348.271	-324.908	5.657
3100	57.983	401.707	350.709	158.093	-350.653	-324.090	5.461
3200	57.997	403.548	352.332	163.892	-353.052	-323.196	5.276
3300	58.009	405.333	353.911	169.692	-355.466	-322.226	5.100
3400	58.020	407.065	355.449	175.494	-357.897	-321.181	4.934
3500	58.030	408.747	356.948	181.296	-360.342	-320.066	4.777
3600	58.039	410.382	358.409	187.100	-362.802	-318.881	4.627
3700	58.048	411.972	359.836	192.904	-365.276	-317.627	4.484
3800	58.056	413.520	361.228	198.709	-367.763	-316.305	4.348
3900	58.063	415.028	362.588	204.515	-370.263	-314.918	4.218
4000	58.070	416.498	363.918	210.322	-372.776	-313.468	4.093
4100	58.076	417.932	365.218	216.129	-375.301	-311.954	3.974
4200	58.082	419.332	366.490	221.937	-377.839	-310.378	3.860
4300	58.087	420.699	367.735	227.745	-380.388	-308.741	3.750
4400	58.092	422.034	368.954	233.554	-382.949	-307.046	3.645
4500	58.097	423.340	370.148	239.364	-385.521	-305.292	3.544
4600	58.102	424.617	371.318	245.174	-388.106	-303.481	3.446
4700	58.106	425.866	372.465	250.984	-390.702	-301.613	3.352
4800	58.110	427.090	373.591	256.795	-954.246	-288.073	3.135
4900	58.113	428.288	374.695	262.606	-956.519	-274.170	2.923
5000	58.117	429.462	375.778	268.418	-958.821	-260.221	2.719
5100	58.120	430.613	376.842	274.230	-961.152	-246.226	2.522
5200	58.123	431.741	377.887	280.042	-963.511	-232.186	2.332
5300	58.126	432.849	378.914	285.854	-965.897	-218.098	2.149
5400	58.129	433.935	379.923	291.667	-968.310	-203.967	1.973
5500	58.131	435.002	380.914	297.480	-970.749	-189.790	1.802
5600	58.134	436.049	381.890	303.293	-973.213	-175.568	1.638
5700	58.136	437.078	382.849	309.107	-975.703	-161.303	1.478
5800	58.138	438.089	383.793	314.920	-978.218	-146.992	1.324
5900	58.140	439.083	384.721	320.734	-980.757	-132.641	1.174
6000	58.142	440.060	385.636	326.548	-983.321	-118.243	1.029
