Zirconium Silicate (ZrSiO4)	O4Si1Zr1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-14.905	-2012.774	-2012.774	INFINITE
100	31.034	14.070	153.089	-13.902	-2018.733	-1983.690	1036.173
200	73.298	49.742	92.291	-8.510	-2022.535	-1946.946	508.490
298.15	98.659	84.026	84.026	0.000	-2023.951	-1909.475	334.532
300	99.119	84.638	84.028	0.183	-2023.961	-1908.764	332.345
400	114.642	115.379	88.114	10.906	-2023.861	-1870.349	244.243
500	125.938	142.241	96.311	22.965	-2022.823	-1832.076	191.396
600	133.679	165.925	105.980	35.967	-2021.207	-1794.071	156.188
700	138.825	186.935	116.073	49.603	-2019.294	-1756.364	131.061
800	142.674	205.738	126.127	63.689	-2017.241	-1718.942	112.235
900	145.268	222.698	135.931	78.091	-2015.160	-1681.779	97.608
1000	147.277	238.112	145.390	92.723	-2013.119	-1644.847	85.918
1100	148.741	252.222	154.470	107.528	-2011.159	-1608.115	76.363
1200	149.704	265.209	163.164	122.454	-2013.031	-1571.335	68.398
1300	150.164	277.211	171.481	137.449	-2010.811	-1534.618	61.662
1400	150.415	288.349	179.436	152.478	-2008.702	-1498.068	55.894
1500	150.624	298.735	187.047	167.532	-2006.718	-1461.664	50.900
1600	150.624	308.456	194.335	182.595	-2004.883	-1425.388	46.534
1700	150.624	317.588	201.319	197.657	-2053.390	-1388.775	42.672
1800	150.624	326.197	208.020	212.719	-2051.665	-1349.731	39.168
1900	150.624	334.341	214.456	227.782	-2050.081	-1310.778	36.036
2000	150.624	342.067	220.645	242.844	-2048.650	-1271.905	33.219
2100	150.624	349.416	226.603	257.907	-2047.382	-1233.100	30.672
2200	150.624	356.423	232.346	272.969	-2067.609	-1193.604	28.340
2300	150.624	363.118	237.887	288.031	-2067.111	-1153.889	26.206
2400	150.624	369.529	243.240	303.094	-2066.658	-1114.194	24.250
2500	150.624	375.678	248.415	318.156	-2066.249	-1074.516	22.451
2600	150.624	381.585	253.424	333.219	-2065.883	-1034.854	20.790
2700	150.624	387.270	258.277	348.281	-2065.559	-995.205	19.253
2800	150.624	392.748	262.982	363.343	-2065.275	-955.567	17.826
2900	150.624	398.033	267.549	378.406	-2065.032	-915.940	16.498
3000	150.624	403.140	271.984	393.468	-2064.827	-876.320	15.258
