Tungsten (W)	W1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.216	849.782	849.782	INFINITE
100	20.786	151.176	192.553	-4.138	851.209	837.052	-437.231
200	20.808	165.586	175.879	-2.059	851.280	822.818	-214.898
250	20.940	170.240	174.303	-1.016	851.166	815.714	-170.434
298.15	21.297	173.954	173.954	0.	851.026	808.899	-141.716
300	21.316	174.086	173.955	0.039	851.020	808.637	-140.796
350	22.004	177.420	174.217	1.121	850.878	801.585	-119.630
400	22.968	180.418	174.807	2.244	850.762	794.551	-103.758
450	24.103	183.188	175.586	3.421	850.686	787.530	-91.414
500	25.285	185.789	176.478	4.656	850.658	780.515	-81.540
600	27.406	190.594	178.437	7.294	850.740	766.481	-66.728
700	28.913	194.940	180.489	10.116	850.960	752.422	-56.146
800	29.823	198.866	182.545	13.057	851.256	738.326	-48.208
900	30.328	202.411	184.559	16.067	851.577	724.190	-42.031
1000	30.606	205.622	186.507	19.115	851.892	710.019	-37.088
1100	30.771	208.548	188.380	22.184	852.182	695.817	-33.042
1200	30.877	211.230	190.174	25.267	852.440	681.591	-29.669
1300	30.944	213.704	191.890	28.359	852.662	667.344	-26.814
1400	30.980	215.999	193.531	31.455	852.842	653.082	-24.367
1500	30.989	218.137	195.101	34.554	852.978	638.808	-22.245
1600	30.978	220.136	196.604	37.652	853.067	624.527	-20.389
1700	30.958	222.014	198.044	40.749	853.107	610.242	-18.750
1800	30.944	223.783	199.425	43.844	853.097	595.956	-17.294
1900	30.951	225.456	200.752	46.939	853.039	581.672	-15.991
2000	30.996	227.045	202.027	50.036	852.935	567.392	-14.819
2100	31.094	228.559	203.255	53.140	852.789	553.118	-13.758
2200	31.257	230.009	204.438	56.256	852.607	538.852	-12.794
2300	31.496	231.403	205.580	59.393	852.395	524.595	-11.914
2400	31.818	232.750	206.684	62.558	852.162	510.348	-11.107
2500	32.229	234.057	207.753	65.760	851.915	496.110	-10.366
2600	32.729	235.331	208.790	69.007	851.667	481.883	-9.681
2700	33.319	236.577	209.796	72.309	851.399	467.666	-9.048
2800	33.993	237.800	210.774	75.674	851.086	453.459	-8.459
2900	34.747	239.006	211.727	79.110	850.696	439.264	-7.912
3000	35.572	240.198	212.656	82.625	850.209	425.085	-7.401
3100	36.459	241.379	213.564	86.227	849.590	410.924	-6.924
3200	37.397	242.551	214.451	89.919	848.813	396.786	-6.477
3300	38.375	243.717	215.320	93.707	847.856	382.674	-6.057
3400	39.381	244.877	216.173	97.595	846.688	368.595	-5.663
3500	40.402	246.033	217.009	101.584	845.246	354.553	-5.291
3600	41.426	247.186	217.832	105.675	843.431	340.558	-4.941
3700	42.442	248.335	218.640	109.869	806.403	326.810	-4.614
3800	43.440	249.480	219.437	114.163	807.141	313.838	-4.314
3900	44.408	250.621	220.222	118.556	807.977	300.846	-4.029
4000	45.338	251.757	220.996	123.043	808.909	287.831	-3.759
4100	46.222	252.887	221.760	127.622	809.931	274.792	-3.501
4200	47.054	254.011	222.515	132.286	811.038	261.726	-3.255
4300	47.829	255.128	223.260	137.031	812.227	248.634	-3.020
4400	48.543	256.236	223.997	141.850	813.489	235.512	-2.796
4500	49.193	257.334	224.726	146.737	814.820	222.362	-2.581
4600	49.778	258.422	225.446	151.686	816.213	209.181	-2.375
4700	50.297	259.498	226.159	156.691	817.661	195.969	-2.178
4800	50.752	260.562	226.865	161.744	819.158	182.726	-1.988
4900	51.142	261.612	227.564	166.839	820.696	169.451	-1.806
5000	51.471	262.649	228.255	171.970	822.271	156.144	-1.631
5100	51.741	263.671	228.939	177.131	823.876	142.806	-1.463
5200	51.955	264.678	229.617	182.317	825.505	129.435	-1.300
5300	52.117	265.669	230.288	187.520	827.152	116.034	-1.144
5400	52.230	266.644	230.952	192.738	828.814	102.601	-0.992
5500	52.298	267.603	231.610	197.965	830.484	89.137	-0.847
5600	52.325	268.546	232.261	203.196	832.159	75.643	-0.706
5700	52.315	269.472	232.906	208.429	833.835	62.119	-0.569
5800	52.271	270.382	233.544	213.658	835.508	48.565	-0.437
5900	52.197	271.275	234.176	218.882	837.175	34.983	-0.310
6000	52.097	272.151	234.802	224.097	838.834	21.373	-0.186
