T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     443.275                 -2198.637             
200     357.555                 -2209.040             
250     347.911                 -2212.101             
298.15  345.641                 -2214.307             
300     345.644                 -2214.379             
350     347.464                 -2218.922             
400     351.686                 -2220.352             
450     357.362                 -2221.305             
500     363.925                 -2221.900             
600     378.414                 -2222.349             
700     393.554                 -2222.164             
800     408.635                 -2221.598             
900     423.335                 -2220.794             
1000    437.513                 -2219.838             
1100    451.116                 -2218.781             
1200    464.137                 -2471.947             
1300    476.590                 -2467.683             
1400    488.502                 -2463.415             
1500    499.903                 -2459.153             
1600    510.825                 -2454.906             
1700    521.299                 -2450.683             
1800    531.356                 -2446.490             
1900    541.023                 -2442.334             
2000    550.327                 -2438.217             
2100    559.291                 -2434.145             
2200    567.937                 -2430.121             
2300    576.287                 -2426.148             
2400    584.358                 -2422.226             
2500    592.168                 -2418.358             
2600    599.732                 -2414.543             
2700    607.064                 -2410.783             
2800    614.178                 -2407.077             
2900    621.086                 -2403.425             
3000    627.800                 -2399.825             
3100    634.329                 -2396.278             
3200    640.683                 -2392.781             
3300    646.872                 -2389.333             
3400    652.903                 -2385.933             
3500    658.784                 -2382.581             
3600    664.522                 -2379.273             
3700    670.124                 -2376.009             
3800    675.596                 -2372.789             
3900    680.943                 -2369.609             
4000    686.173                 -2366.471             
4100    691.288                 -2363.372             
4200    696.295                 -2360.312             
4300    701.197                 -2357.291             
4400    705.999                 -2354.308             
4500    710.705                 -2351.363             
4600    715.319                 -2348.457             
4700    719.843                 -2345.590             
4800    724.282                 -2342.762             
4900    728.639                 -2339.975             
5000    732.916                 -2337.229             
5100    737.116                 -2334.527             
5200    741.243                 -2331.869             
5300    745.298                 -2329.258             
5400    749.284                 -2326.696             
5500    753.203                 -2324.185             
5600    757.058                 -2321.727             
5700    760.850                 -2319.326             
5800    764.582                 -2316.984             
5900    768.255                 -2314.704             
6000    771.872                 -2312.491             
