T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     366.958                 -789.415              
200     317.475                 -790.202              
250     312.518                 -790.517              
298.15  311.403                 -790.776              
300     311.404                 -790.785              
350     312.253                 -791.019              
400     314.171                 -791.227              
450     316.686                 -791.418              
500     319.535                 -791.600              
600     325.671                 -791.963              
700     331.923                 -792.373              
800     338.034                 -792.874              
900     343.904                 -793.510              
1000    349.499                 -804.905              
1100    354.816                 -805.551              
1200    359.866                 -806.194              
1300    364.663                 -806.837              
1400    369.226                 -807.483              
1500    373.572                 -808.134              
1600    377.718                 -808.791              
1700    381.679                 -809.456              
1800    385.470                 -810.129              
1900    389.103                 -810.811              
2000    392.590                 -811.502              
2100    395.942                 -812.203              
2200    399.168                 -812.912              
2300    402.278                 -813.631              
2400    405.278                 -814.358              
2500    408.176                 -815.094              
2600    410.979                 -815.839              
2700    413.692                 -816.591              
2800    416.321                 -1111.252             
2900    418.870                 -1110.923             
3000    421.345                 -1110.600             
3100    423.750                 -1110.282             
3200    426.088                 -1109.967             
3300    428.363                 -1109.654             
3400    430.578                 -1109.341             
3500    432.736                 -1109.027             
3600    434.840                 -1108.709             
3700    436.892                 -1108.386             
3800    438.896                 -1108.056             
3900    440.853                 -1107.715             
4000    442.765                 -1107.364             
4100    444.635                 -1106.998             
4200    446.464                 -1106.617             
4300    448.253                 -1106.218             
4400    450.006                 -1105.801             
4500    451.722                 -1105.359             
4600    453.404                 -1104.898             
4700    455.053                 -1104.413             
4800    456.669                 -1103.904             
4900    458.255                 -1103.368             
5000    459.812                 -1102.807             
5100    461.340                 -1102.220             
5200    462.841                 -1101.607             
5300    464.315                 -1100.967             
5400    465.764                 -1100.302             
5500    467.188                 -1099.610             
5600    468.588                 -1098.894             
5700    469.965                 -1098.153             
5800    471.319                 -1097.386             
5900    472.652                 -1096.599             
6000    473.964                 -1095.768             
