T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  230.975                 992.993               
300     230.975                 993.021               
400     232.296                 994.503               
500     234.837                 995.945               
600     237.729                 997.327               
700     240.669                 998.622               
800     243.541                 999.797               
900     246.298                 1000.820              
1000    248.928                 991.071               
1100    251.429                 992.064               
1200    253.805                 993.056               
1300    256.064                 994.043               
1400    258.214                 995.026               
1500    260.262                 996.003               
1600    262.217                 996.972               
1700    264.085                 997.933               
1800    265.874                 998.886               
1900    267.588                 999.831               
2000    269.234                 1000.766              
2100    270.817                 1001.693              
2200    272.341                 1002.611              
2300    273.809                 1003.521              
2400    275.226                 1004.423              
2500    276.596                 1005.317              
2600    277.920                 1006.203              
2700    279.203                 1007.083              
2800    280.446                 714.056               
2900    281.651                 716.019               
3000    282.822                 717.977               
3100    283.960                 719.930               
3200    285.066                 721.879               
3300    286.143                 723.824               
3400    287.192                 725.764               
3500    288.214                 727.702               
3600    289.211                 729.636               
3700    290.184                 731.567               
3800    291.134                 733.495               
3900    292.063                 735.421               
4000    292.970                 737.343               
4100    293.858                 739.262               
4200    294.727                 741.177               
4300    295.577                 743.088               
4400    296.411                 744.995               
4500    297.227                 746.900               
4600    298.028                 748.796               
4700    298.813                 750.687               
4800    299.583                 752.570               
4900    300.339                 754.447               
5000    301.081                 756.313               
5100    301.811                 758.168               
5200    302.527                 760.013               
5300    303.231                 761.844               
5400    303.924                 763.660               
5500    304.605                 765.461               
5600    305.274                 767.244               
5700    305.934                 769.008               
5800    306.583                 770.755               
5900    307.221                 772.476               
6000    307.851                 774.195               
