T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     267.905                 553.372               
200     234.935                 554.978               
250     231.645                 555.764               
298.15  230.905                 556.472               
300     230.906                 556.498               
350     231.472                 557.174               
400     232.755                 557.787               
450     234.446                 558.332               
500     236.371                 558.807               
600     240.550                 559.557               
700     244.849                 560.073               
800     249.086                 560.394               
900     253.184                 560.552               
1000    257.114                 560.576               
1100    260.868                 560.486               
1200    264.450                 560.300               
1300    267.866                 560.031               
1400    271.126                 559.689               
1500    274.241                 559.283               
1600    277.220                 558.820               
1700    280.074                 558.305               
1800    282.810                 557.742               
1900    285.438                 557.135               
2000    287.964                 556.488               
2100    290.397                 555.802               
2200    292.741                 555.080               
2300    295.004                 554.324               
2400    297.190                 553.536               
2500    299.304                 552.716               
2600    301.350                 551.865               
2700    303.333                 550.985               
2800    305.256                 550.077               
2900    307.123                 549.141               
3000    308.937                 548.178               
3100    310.700                 547.188               
3200    312.416                 546.173               
3300    314.086                 545.132               
3400    315.713                 544.065               
3500    317.300                 542.974               
3600    318.848                 541.859               
3700    320.358                 540.719               
3800    321.834                 539.556               
3900    323.275                 538.369               
4000    324.685                 537.159               
4100    326.063                 535.926               
4200    327.412                 534.670               
4300    328.733                 533.392               
4400    330.026                 532.092               
4500    331.294                 530.769               
4600    332.536                 529.425               
4700    333.754                 528.059               
4800    334.950                 526.671               
4900    336.123                 525.262               
5000    337.274                 523.833               
5100    338.405                 522.382               
5200    339.515                 520.911               
5300    340.607                 519.419               
5400    341.680                 517.907               
5500    342.735                 516.376               
5600    343.772                 514.824               
5700    344.793                 513.253               
5800    345.797                 511.662               
5900    346.786                 510.051               
6000    347.759                 508.421               
