T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     328.013                 -95.963               
200     281.870                 -94.842               
250     277.147                 -94.230               
298.15  276.071                 -93.638               
300     276.072                 -93.616               
350     276.906                 -93.038               
400     278.808                 -92.526               
450     281.330                 -92.100               
500     284.216                 -91.764               
600     290.524                 -91.335               
700     297.071                 -91.157               
800     303.580                 -91.148               
900     309.932                 -91.251               
1000    316.075                 -91.428               
1100    321.989                 -91.657               
1200    327.672                 -91.926               
1300    333.129                 -92.228               
1400    338.370                 -92.560               
1500    343.406                 -92.921               
1600    348.247                 -93.313               
1700    352.907                 -93.736               
1800    357.395                 -94.192               
1900    361.722                 -94.683               
2000    365.899                 -95.209               
2100    369.934                 -95.774               
2200    373.837                 -96.378               
2300    377.613                 -97.022               
2400    381.272                 -97.708               
2500    384.820                 -98.435               
2600    388.263                 -99.205               
2700    391.607                 -100.018              
2800    394.857                 -100.875              
2900    398.018                 -101.774              
3000    401.094                 -102.717              
3100    404.090                 -103.703              
3200    407.011                 -104.733              
3300    409.858                 -105.805              
3400    412.637                 -106.919              
3500    415.349                 -108.076              
3600    417.999                 -109.274              
3700    420.589                 -110.514              
3800    423.121                 -111.796              
3900    425.598                 -113.118              
4000    428.023                 -114.481              
4100    430.396                 -115.885              
4200    432.722                 -117.329              
4300    435.000                 -118.814              
4400    437.234                 -120.339              
4500    439.425                 -121.905              
4600    441.574                 -123.511              
4700    443.683                 -125.157              
4800    445.754                 -126.845              
4900    447.788                 -128.574              
5000    449.785                 -130.345              
5100    451.748                 -132.158              
5200    453.678                 -134.015              
5300    455.575                 -135.914              
5400    457.441                 -137.859              
5500    459.276                 -139.848              
5600    461.083                 -141.883              
5700    462.861                 -143.966              
5800    464.611                 -146.096              
5900    466.334                 -148.275              
6000    468.032                 -150.504              
