T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     323.826                 -477.859              
200     285.833                 -479.979              
250     281.879                 -480.848              
298.15  280.968                 -481.578              
300     280.969                 -481.604              
350     281.687                 -482.250              
400     283.342                 -482.794              
450     285.561                 -483.249              
500     288.128                 -483.626              
600     293.813                 -484.191              
700     299.791                 -484.549              
800     305.791                 -484.745              
900     311.685                 -484.814              
1000    317.412                 -484.781              
1100    322.947                 -484.670              
1200    328.280                 -484.498              
1300    333.413                 -484.282              
1400    338.351                 -484.036              
1500    343.102                 -483.768              
1600    347.676                 -483.488              
1700    352.083                 -483.202              
1800    356.332                 -482.914              
1900    360.433                 -482.628              
2000    364.393                 -482.346              
2100    368.222                 -482.068              
2200    371.927                 -481.795              
2300    375.515                 -481.526              
2400    378.993                 -481.260              
2500    382.367                 -480.996              
2600    385.642                 -480.732              
2700    388.824                 -480.467              
2800    391.919                 -480.199              
2900    394.929                 -479.926              
3000    397.861                 -479.647              
3100    400.716                 -479.361              
3200    403.500                 -479.065              
3300    406.216                 -478.758              
3400    408.867                 -478.440              
3500    411.455                 -478.108              
3600    413.984                 -477.761              
3700    416.456                 -477.399              
3800    418.874                 -477.021              
3900    421.239                 -476.624              
4000    423.555                 -476.209              
4100    425.823                 -475.775              
4200    428.045                 -475.321              
4300    430.222                 -474.846              
4400    432.358                 -474.349              
4500    434.452                 -473.831              
4600    436.507                 -473.291              
4700    438.524                 -472.727              
4800    440.504                 -472.141              
4900    442.449                 -471.531              
5000    444.361                 -470.898              
5100    446.239                 -470.241              
5200    448.085                 -469.560              
5300    449.901                 -468.855              
5400    451.687                 -468.126              
5500    453.444                 -467.373              
5600    455.173                 -466.596              
5700    456.875                 -465.796              
5800    458.551                 -464.971              
5900    460.201                 -464.123              
6000    461.827                 -463.251              
