T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     50.176                  0.                    
200     32.287                  0.                    
250     30.475                  0.                    
298.15  30.067                  0.                    
300     30.068                  0.                    
350     30.373                  0.                    
400     31.062                  0.                    
450     31.967                  0.                    
500     32.996                  0.                    
600     35.229                  0.                    
700     37.533                  0.                    
800     39.894                  0.                    
900     42.181                  0.                    
1000    44.396                  0.                    
1100    46.544                  0.                    
1200    48.636                  0.                    
1300    50.685                  0.                    
1400    52.708                  0.                    
1500    54.688                  0.                    
1600    56.587                  0.                    
1700    58.404                  0.                    
1800    60.305                  0.                    
1900    62.452                  0.                    
2000    64.490                  0.                    
2100    66.430                  0.                    
2200    68.282                  0.                    
2300    70.053                  0.                    
2400    71.750                  0.                    
2500    73.378                  0.                    
2600    74.944                  0.                    
2700    76.451                  0.                    
2800    77.904                  0.                    
2900    79.307                  0.                    
3000    80.663                  0.                    
3100    81.975                  0.                    
3200    83.246                  374.813               
3300    84.478                  -373.387              
3400    85.673                  -371.963              
3500    86.835                  -370.541              
3600    87.964                  -369.124              
3700    89.063                  -367.712              
3800    90.132                  -366.307              
3900    91.174                  -364.911              
4000    92.190                  -363.523              
