T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     50.176                  0.                    
200     32.287                  0.                    
298.15  30.067                  0.                    
300     30.068                  0.                    
400     31.062                  0.                    
500     32.996                  0.                    
600     35.229                  0.                    
700     37.533                  0.                    
800     39.894                  0.                    
900     42.181                  0.                    
1000    44.396                  0.                    
1100    46.544                  0.                    
1200    48.636                  0.                    
1300    50.685                  0.                    
1400    52.708                  0.                    
1500    54.688                  0.                    
1600    56.587                  0.                    
1700    58.404                  0.                    
1800    60.305                  0.                    
1900    62.452                  0.                    
2000    64.490                  0.                    
2100    66.430                  0.                    
2200    68.282                  0.                    
2300    70.053                  0.                    
2400    71.750                  0.                    
2500    73.378                  0.                    
2600    74.944                  0.                    
2700    76.451                  0.                    
2800    77.904                  0.                    
2900    79.307                  0.                    
3000    80.663                  0.                    
3100    81.975                  0.                    
3200    83.800                  0.                    
3300    88.574                  0.                    
3400    93.092                  0.                    
3500    97.373                  0.                    
3600    101.437                 0.                    
3700    105.302                 0.                    
3800    108.982                 0.                    
3900    112.491                 0.                    
4000    115.841                 0.                    
4200    122.111                 0.                    
4400    127.869                 0.                    
4600    133.180                 0.                    
4800    138.099                 0.                    
5000    142.671                 0.                    
5200    146.934                 0.                    
5400    150.923                 0.                    
5600    154.666                 0.                    
5800    158.187                 0.                    
6000    161.508                 0.                    
