T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     137.842                 93.093                
200     95.337                  93.790                
298.15  90.002                  94.977                
300     90.003                  95.003                
400     92.500                  96.486                
500     97.358                  97.978                
600     102.949                 99.462                
700     108.689                 100.938               
800     114.350                 102.427               
900     119.838                 103.943               
1000    125.122                 105.495               
