T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  161.790                 856.648               
300     161.790                 856.677               
350     162.044                 851.767               
400     162.606                 852.475               
450     163.333                 853.201               
500     164.145                 853.935               
600     165.869                 855.417               
700     167.598                 856.912               
800     169.267                 858.413               
900     170.854                 859.913               
1000    172.356                 861.413               
1100    173.774                 862.914               
1200    175.113                 864.414               
1300    176.379                 865.914               
1400    177.579                 867.415               
1500    178.718                 868.915               
1600    179.801                 870.415               
1700    180.834                 871.916               
1800    181.819                 873.416               
1900    182.762                 874.917               
2000    183.665                 876.417               
2100    184.532                 877.917               
2200    185.364                 879.418               
2300    186.166                 880.918               
2400    186.938                 882.418               
2500    187.683                 625.333               
2600    188.403                 627.367               
2700    189.100                 629.404               
2800    189.773                 631.444               
2900    190.427                 633.487               
3000    191.060                 635.533               
3100    191.675                 637.580               
3200    192.272                 639.629               
3300    192.853                 641.679               
3400    193.419                 643.731               
3500    193.969                 645.785               
3600    194.505                 647.838               
3700    195.028                 649.893               
3800    195.539                 651.948               
3900    196.037                 654.004               
4000    196.523                 656.059               
4100    196.999                 658.114               
4200    197.464                 660.169               
4300    197.919                 662.223               
4400    198.364                 664.275               
4500    198.799                 666.327               
4600    199.226                 668.377               
4700    199.645                 670.425               
4800    200.055                 672.471               
4900    200.457                 674.514               
5000    200.852                 676.554               
5100    201.239                 678.591               
5200    201.619                 680.625               
5300    201.993                 682.654               
5400    202.360                 684.679               
5500    202.720                 686.700               
5600    203.075                 688.715               
5700    203.423                 690.726               
5800    203.766                 692.730               
5900    204.104                 694.728               
6000    204.436                 696.720               
