T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     62.261                  0.                    
200     43.151                  0.                    
298.15  40.838                  0.                    
300     40.839                  0.                    
400     46.408                  0.                    
500     51.237                  0.                    
600     55.358                  0.                    
700     58.939                  0.                    
800     62.102                  0.                    
900     64.932                  0.                    
1000    67.492                  0.                    
1100    69.828                  0.                    
1200    71.976                  0.                    
1300    73.965                  0.                    
1400    75.815                  0.                    
1500    77.546                  0.                    
1600    79.171                  0.                    
1700    80.702                  0.                    
1800    82.150                  0.                    
1900    83.524                  0.                    
2000    84.830                  0.                    
2100    86.075                  0.                    
2200    87.264                  0.                    
2300    88.402                  0.                    
2400    89.494                  0.                    
2500    91.522                  0.                    
2600    96.505                  0.                    
2700    101.149                 0.                    
2800    105.489                 0.                    
2900    109.556                 0.                    
3000    113.377                 0.                    
3100    116.973                 0.                    
3200    120.366                 0.                    
3300    123.574                 0.                    
3400    126.611                 0.                    
3500    129.493                 0.                    
3600    132.231                 0.                    
3700    134.837                 0.                    
3800    137.321                 0.                    
3900    139.691                 0.                    
4000    141.957                 0.                    
4100    144.125                 0.                    
4200    146.202                 0.                    
4300    148.193                 0.                    
4400    150.106                 0.                    
4500    151.944                 0.                    
4600    153.712                 0.                    
4700    155.415                 0.                    
4800    157.056                 0.                    
4900    158.640                 0.                    
5000    160.168                 0.                    
5100    161.645                 0.                    
5200    163.073                 0.                    
5300    164.455                 0.                    
5400    165.793                 0.                    
5500    167.090                 0.                    
5600    168.348                 0.                    
5700    169.568                 0.                    
5800    170.752                 0.                    
5900    171.903                 0.                    
6000    173.021                 0.                    
