T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  181.326                 -105.437              
300     181.328                 -105.445              
400     184.430                 -121.858              
500     191.669                 -161.859              
600     203.646                 -139.692              
700     216.154                 -194.724              
800     227.365                 -190.373              
900     237.506                 -186.033              
1000    246.756                 -181.704              
1100    255.253                 -177.389              
1200    263.109                 -173.091              
1300    270.411                 -168.817              
1400    277.232                 -164.574              
1500    283.629                 -160.371              
