T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     188.849                 -287.646              
200     129.436                 -286.263              
298.15  122.499                 -284.512              
300     122.500                 -284.478              
400     125.627                 -284.831              
500     131.719                 -282.410              
600     138.714                 -279.712              
700     145.864                 -276.854              
800     152.872                 -273.908              
900     159.620                 -270.921              
1000    166.067                 -267.939              
1100    172.206                 -343.951              
1200    178.045                 -340.021              
1300    183.600                 -336.097              
1400    188.890                 -332.182              
1500    193.932                 -328.284              
