T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     333.657                 -3378.953             
200     205.121                 -3383.356             
298.15  187.891                 -3383.601             
300     187.895                 -3383.581             
400     196.222                 -3381.793             
500     212.753                 -3388.377             
600     232.072                 -3384.937             
700     252.131                 -3380.383             
800     272.262                 -3372.851             
900     292.114                 -3365.399             
1000    311.357                 -3368.604             
1100    329.912                 3360.516              
1200    347.770                 -3351.444             
1300    364.974                 -3341.386             
1400    381.571                 -3330.327             
1500    397.611                 -3318.256             
1600    413.136                 -3305.169             
