T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     138.595                 -1568.037             
200     82.308                  -1571.507             
298.15  74.559                  -1572.556             
300     74.561                  -1572.560             
400     78.355                  -1572.255             
500     85.906                  -1571.304             
600     94.722                  -1570.043             
700     103.847                 -1568.636             
800     112.880                 -1567.162             
900     121.650                 -1565.714             
1000    130.089                 -1572.993             
1100    138.177                 -1571.915             
1200    145.915                 -1574.903             
1300    153.319                 -1573.268             
1400    160.408                 -1699.017             
1500    167.202                 -1695.995             
1600    173.721                 -1692.979             
1700    179.985                 -1689.982             
1800    186.012                 -1687.017             
1900    191.820                 -1684.097             
2000    198.517                 -1604.658             
2100    206.127                 -1600.822             
2200    213.397                 -1597.019             
2300    220.358                 -1593.251             
2400    227.035                 -1589.518             
2500    233.450                 -1585.818             
2600    239.622                 -1582.152             
2700    245.570                 -1578.520             
2800    251.308                 -1574.922             
2900    256.852                 -1571.357             
3000    262.214                 -1567.828             
3100    267.405                 -1564.332             
3200    272.437                 -1560.871             
3300    277.318                 -1557.446             
3400    282.057                 -1554.057             
3500    286.663                 -1550.706             
3600    291.142                 -1547.392             
3700    295.502                 -1953.217             
3800    299.749                 -1948.749             
3900    303.887                 -1944.379             
4000    307.924                 -1940.107             
