T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  204.536                 148.615               
300     204.536                 148.576               
350     204.892                 147.543               
400     205.685                 146.516               
450     206.713                 145.497               
500     207.869                 144.486               
600     210.339                 142.489               
700     212.845                 140.516               
800     215.297                 138.556               
900     217.657                 136.601               
1000    219.917                 134.646               
1100    222.075                 132.686               
1200    224.133                 130.719               
1300    226.099                 128.746               
1400    227.977                 126.766               
1500    229.773                 124.779               
1600    231.494                 122.785               
1700    233.145                 120.785               
1800    234.730                 118.780               
1900    236.255                 116.770               
2000    237.723                 114.755               
2100    239.139                 112.737               
2200    240.505                 110.715               
2300    241.825                 108.689               
2400    243.103                 106.661               
2500    244.339                 104.629               
2600    245.538                 102.596               
2700    246.701                 100.560               
2800    247.830                 98.522                
2900    248.927                 96.482                
3000    249.993                 94.441                
3100    251.032                 92.397                
3200    252.043                 90.353                
3300    253.028                 88.307                
3400    253.989                 86.260                
3500    254.926                 84.212                
3600    255.841                 82.163                
3700    256.735                 80.113                
3800    257.609                 78.062                
3900    258.464                 76.010                
4000    259.300                 73.957                
4100    260.118                 71.904                
4200    260.919                 69.849                
4300    261.704                 67.795                
4400    262.474                 65.739                
4500    263.228                 63.683                
4600    263.968                 61.626                
4700    264.693                 59.568                
4800    265.406                 57.510                
4900    266.106                 55.450                
5000    266.793                 53.390                
5100    267.468                 51.329                
5200    268.131                 49.267                
5300    268.784                 47.205                
5400    269.425                 45.141                
5500    270.056                 43.077                
5600    270.677                 41.011                
5700    271.289                 38.944                
5800    271.890                 36.875                
5900    272.483                 34.805                
6000    273.066                 32.733                
