T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  172.365                 -380.114              
300     172.367                 -380.119              
400     176.305                 -390.405              
500     183.928                 -393.756              
600     192.894                 -394.489              
700     202.280                 -394.619              
800     211.555                 394.391               
900     220.504                 -500.211              
1000    229.052                 -497.229              
1100    237.181                 -494.321              
1200    244.901                 -685.047              
1300    252.234                 -680.541              
1400    259.205                 -676.066              
1500    265.840                 -671.622              
