T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  160.132                 -1380.899             
300     160.135                 -1380.859             
400     166.460                 -1386.419             
500     178.571                 -1385.927             
600     192.345                 1384.599              
700     206.375                 -1382.545             
800     220.140                 -1379.835             
900     233.452                 -1429.621             
1000    246.259                 -1424.467             
1100    258.560                 -1418.821             
1200    270.379                 1606.234              
1300    281.746                 -1597.830             
1400    292.696                 -1588.878             
1500    303.261                 -1579.391             
