T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     313.591                 -168.879              
200     281.619                 -170.596              
250     278.435                 -171.428              
298.15  277.717                 -172.268              
300     277.718                 -172.301              
350     278.268                 -173.915              
400     279.516                 -177.096              
450     281.161                 -178.709              
500     283.033                 -180.348              
600     287.090                 -183.091              
700     291.251                 -185.489              
800     295.342                 -187.677              
900     299.289                 -242.862              
1000    303.065                 -243.610              
1100    306.666                 -244.348              
1200    310.094                 -308.657              
1300    313.358                 -308.621              
1400    316.470                 -308.598              
1500    319.438                 -308.588              
1600    322.274                 -308.593              
1700    324.987                 -308.614              
1800    327.586                 -308.649              
1900    330.081                 -308.699              
2000    332.477                 -308.761              
2100    334.782                 -308.834              
2200    337.003                 -308.915              
2300    339.145                 -309.003              
2400    341.213                 -309.095              
2500    343.211                 -309.189              
2600    345.146                 -309.284              
2700    347.019                 -309.375              
2800    348.835                 -309.462              
2900    350.597                 -309.544              
3000    352.309                 -309.618              
3100    353.972                 -309.683              
3200    355.589                 -309.738              
3300    357.164                 -309.782              
3400    358.698                 -309.815              
3500    360.193                 -309.835              
3600    361.650                 -309.844              
3700    363.073                 -309.840              
3800    364.462                 -309.824              
3900    365.819                 -309.795              
4000    367.145                 -309.755              
4100    368.442                 -309.702              
4200    369.711                 -309.638              
4300    370.953                 -309.564              
4400    372.169                 -309.479              
4500    373.361                 -309.384              
4600    374.529                 -309.279              
4700    375.674                 -309.166              
4800    376.797                 -309.045              
4900    377.899                 -308.916              
5000    378.980                 -308.781              
5100    380.042                 -308.638              
5200    381.085                 -308.490              
5300    382.110                 -308.337              
5400    383.117                 -308.179              
5500    384.107                 -308.017              
5600    385.081                 -307.851              
5700    386.039                 -307.681              
5800    386.981                 -307.508              
5900    387.908                 -307.333              
6000    388.821                 -307.156              
