T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  166.970                 1336.333              
300     166.971                 1336.375              
350     167.281                 1336.744              
400     167.959                 1337.688              
450     168.822                 1338.599              
500     169.774                 1339.483              
600     171.759                 1341.196              
700     173.712                 1342.857              
800     175.571                 1344.485              
900     177.319                 1346.091              
1000    178.957                 1347.680              
1100    180.492                 1349.258              
1200    181.932                 1287.256              
1300    183.287                 1289.595              
1400    184.565                 1291.925              
1500    185.773                 1294.250              
1600    186.918                 1296.571              
1700    188.006                 1298.891              
1800    189.043                 1301.210              
1900    190.032                 1303.531              
2000    190.979                 1305.855              
2100    191.886                 1308.183              
2200    192.756                 1310.516              
2300    193.594                 1312.855              
2400    194.400                 1315.200              
2500    195.179                 1317.551              
2600    195.930                 1319.910              
2700    196.657                 1322.275              
2800    197.361                 1324.648              
2900    198.043                 1327.028              
3000    198.706                 1329.414              
3100    199.349                 1331.808              
3200    199.974                 1334.208              
3300    200.583                 1336.614              
3400    201.176                 1339.026              
3500    201.754                 1341.444              
3600    202.317                 1343.867              
3700    202.867                 1346.295              
3800    203.404                 1348.727              
3900    203.929                 1351.164              
4000    204.442                 1353.604              
4100    204.944                 1356.048              
4200    205.435                 1358.494              
4300    205.916                 1360.943              
4400    206.388                 1363.395              
4500    206.850                 1365.848              
4600    207.303                 1368.303              
4700    207.747                 1370.760              
4800    208.183                 1373.217              
4900    208.611                 1375.676              
5000    209.031                 1378.135              
5100    209.444                 1380.594              
5200    209.850                 1383.054              
5300    210.249                 1385.513              
5400    210.641                 1387.972              
5500    211.026                 1390.430              
5600    211.406                 1392.888              
5700    211.779                 1395.345              
5800    212.146                 1397.801              
5900    212.508                 1400.256              
6000    212.864                 1402.710              
