T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     229.504                 -265.562              
200     168.330                 -265.682              
298.15  161.128                 -277.399              
300     161.129                 -277.442              
400     164.272                 -306.608              
500     170.271                 -304.824              
600     177.110                 -302.762              
700     186.229                 -287.652              
800     196.439                 -283.209              
900     205.942                 -278.745              
1000    214.792                 -274.261              
1100    223.055                 -269.755              
1200    230.791                 -265.228              
1300    238.057                 -260.686              
1400    244.901                 -256.145              
1500    251.367                 -251.615              
1600    257.493                 -247.104              
1700    263.310                 -242.617              
1800    268.847                 -238.159              
1900    274.130                 -233.735              
2000    279.180                 -229.347              
