T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  135.980                 -359.406              
300     135.981                 -359.375              
400     139.043                 -357.711              
500     144.922                 -355.942              
600     151.622                 -354.020              
700     158.460                 -356.781              
800     165.179                 354.476               
900     171.680                 -351.870              
1000    177.933                 -348.961              
1100    183.936                 -345.746              
1200    189.699                 -342.222              
1300    195.238                 -338.397              
1400    200.570                 -334.283              
1500    205.710                 -329.891              
