T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     133.734                 -98.734               
200     95.823                  -98.437               
298.15  91.343                  -98.324               
300     91.344                  -98.324               
400     93.295                  -100.657              
500     97.013                  -102.302              
600     101.217                 -103.584              
700     105.473                 -109.465              
800     109.620                 -110.310              
900     113.602                 -164.074              
1000    117.402                 -163.312              
1100    121.023                 -162.439              
1200    124.474                 -161.459              
1300    127.767                 -160.375              
1400    130.914                 -159.206              
1500    133.927                 -157.962              
1600    136.817                 -156.653              
1700    139.595                 -155.288              
1800    142.268                 -153.869              
