T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     87.950                  0.                    
200     67.210                  0.                    
250     65.225                  0.                    
298.15  64.785                  0.                    
300     64.786                  0.                    
400     65.849                  0.                    
500     67.886                  0.                    
600     70.201                  0.                    
700     73.693                  0.                    
800     76.863                  0.                    
900     79.746                  0.                    
1000    82.383                  0.                    
1100    84.808                  0.                    
1200    87.050                  0.                    
1300    89.132                  0.                    
1400    91.074                  0.                    
1500    92.893                  0.                    
1600    94.605                  0.                    
1700    96.221                  0.                    
1800    97.753                  0.                    
1900    99.208                  0.                    
2000    100.595                 0.                    
2100    101.920                 177.221               
2200    103.189                 -176.833              
2300    104.406                 -176.511              
2400    105.577                 -176.259              
2500    106.705                 -176.077              
2600    107.793                 -175.964              
2700    108.844                 -175.920              
2800    109.861                 -175.939              
2900    110.847                 -176.018              
3000    111.802                 -176.151              
