T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     332.132                 -753.270              
200     289.215                 -756.419              
250     284.672                 -757.620              
298.15  283.623                 -758.559              
300     283.625                 -758.592              
350     284.450                 -759.375              
400     286.351                 -762.221              
450     288.893                 -763.401              
500     291.822                 -764.529              
600     298.274                 -766.067              
700     305.014                 -767.083              
800     311.736                 -767.770              
900     318.300                 -821.368              
1000    324.644                 -820.469              
1100    330.744                 -819.517              
1200    336.593                 -818.532              
1300    342.198                 -817.531              
1400    347.569                 -816.523              
1500    352.717                 -815.519              
1600    357.656                 -814.524              
1700    362.399                 -813.544              
1800    366.958                 -812.581              
1900    371.345                 -811.637              
2000    375.572                 -810.712              
2100    379.648                 -809.804              
2200    383.582                 -808.913              
2300    387.385                 -808.036              
2400    391.064                 -807.171              
2500    394.626                 -806.313              
2600    398.078                 -805.460              
2700    401.426                 -804.609              
2800    404.676                 -803.755              
2900    407.834                 -802.897              
3000    410.905                 -802.032              
3100    413.892                 -801.156              
3200    416.801                 -800.268              
3300    419.635                 -799.366              
3400    422.398                 -798.448              
3500    425.093                 -797.514              
3600    427.723                 -796.561              
3700    430.292                 -795.590              
3800    432.803                 -794.599              
3900    435.257                 -793.589              
4000    437.657                 -792.559              
4100    440.006                 -791.511              
4200    442.305                 -790.443              
4300    444.557                 -789.358              
4400    446.763                 -788.255              
4500    448.926                 -787.135              
4600    451.047                 -785.999              
4700    453.127                 -784.849              
4800    455.168                 -783.686              
4900    457.172                 -782.511              
5000    459.139                 -781.325              
5100    461.072                 -780.130              
5200    462.971                 -778.927              
5300    464.837                 -777.718              
5400    466.672                 -776.506              
5500    468.477                 -775.290              
5600    470.252                 -774.073              
5700    471.998                 -772.857              
5800    473.717                 -771.644              
5900    475.409                 -770.434              
6000    477.075                 -769.232              
