T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     254.370                 -20.552               
200     228.738                 -19.972               
250     226.320                 -19.976               
298.15  225.786                 -20.083               
300     225.786                 -20.089               
350     226.186                 -20.269               
400     227.083                 -20.492               
450     228.251                 -20.742               
500     229.569                 -21.014               
600     232.393                 -21.607               
700     235.260                 -22.251               
800     238.055                 -22.943               
900     240.736                 -23.678               
1000    243.289                 -24.455               
1100    245.714                 -25.273               
1200    248.015                 -26.131               
1300    250.201                 -27.029               
1400    252.281                 -27.968               
1500    254.261                 -28.950               
1600    256.150                 -29.974               
1700    257.956                 -81.217               
1800    259.684                 -82.096               
1900    261.340                 -82.973               
2000    262.931                 -83.850               
2100    264.460                 -84.724               
2200    265.932                 -85.593               
2300    267.351                 -86.457               
2400    268.721                 -87.314               
2500    270.045                 -88.161               
2600    271.325                 -88.997               
2700    272.566                 -89.821               
2800    273.768                 -90.631               
2900    274.934                 -91.426               
3000    276.067                 -92.204               
3100    277.167                 -92.964               
3200    278.238                 -93.705               
3300    279.280                 -94.427               
3400    280.295                 -95.128               
3500    281.285                 -95.808               
3600    282.250                 -480.618              
3700    283.192                 -480.841              
3800    284.112                 -481.042              
3900    285.011                 -481.223              
4000    285.890                 -481.382              
4100    286.750                 -481.519              
4200    287.591                 -481.633              
4300    288.415                 -481.724              
4400    289.222                 -481.792              
4500    290.013                 -481.837              
4600    290.788                 -481.858              
4700    291.549                 -481.856              
4800    292.295                 -481.830              
4900    293.028                 -481.781              
5000    293.747                 -481.708              
5100    294.454                 -481.611              
5200    295.148                 -481.491              
5300    295.831                 -481.347              
5400    296.503                 -481.180              
5500    297.163                 -480.990              
5600    297.813                 -480.777              
5700    298.453                 -480.541              
5800    299.083                 -480.282              
5900    299.703                 -480.002              
6000    300.314                 -479.698              
