T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     137.682                 -1217.805             
200     88.303                  -1218.070             
298.15  82.123                  -1217.126             
300     82.125                  -1217.104             
400     84.936                  -1215.793             
500     90.380                  -1214.376             
600     96.599                  -1212.968             
700     102.924                 -1211.616             
800     109.099                 -1210.324             
900     115.028                 -1209.705             
1000    120.691                 -1208.031             
1100    126.104                 -1213.908             
1200    131.300                 -1212.258             
1300    136.321                 -1209.788             
1400    141.230                 -1205.258             
1500    146.171                 -1196.812             
1600    151.132                 -1190.831             
1700    155.978                 -1323.645             
1800    161.125                 -1289.381             
1900    166.471                 -1285.440             
2000    171.543                 -1281.516             
2100    176.368                 -1277.610             
2200    180.969                 -1273.722             
2300    185.365                 -1269.856             
2400    189.575                 -1266.014             
2500    193.613                 -1262.199             
2600    197.493                 -1258.416             
2700    201.226                 -1254.671             
2800    204.824                 -1250.970             
2900    208.296                 -1247.320             
3000    211.650                 -1243.729             
3100    214.895                 -1240.204             
3200    218.036                 -1236.754             
3300    221.081                 -1233.386             
3400    224.035                 -1230.108             
3500    226.903                 -1226.929             
