T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     335.836                 -764.680              
200     296.453                 -765.547              
250     292.579                 -765.841              
298.15  291.715                 -766.090              
300     291.716                 -766.100              
350     292.366                 -766.358              
400     293.825                 -766.633              
450     295.725                 -766.934              
500     297.864                 -767.266              
600     302.437                 -768.027              
700     307.059                 -768.922              
800     311.548                 -769.950              
900     315.837                 -771.735              
1000    319.909                 -772.701              
1100    323.766                 -781.588              
1200    327.417                 -783.502              
1300    330.878                 -785.434              
1400    334.163                 -787.382              
1500    337.286                 -789.345              
1600    340.260                 -791.324              
1700    343.097                 -930.231              
1800    345.809                 -930.375              
1900    348.405                 -930.535              
2000    350.895                 -930.710              
2100    353.285                 -930.902              
2200    355.584                 -931.112              
2300    357.798                 -931.342              
2400    359.933                 -931.595              
2500    361.993                 -931.874              
2600    363.985                 -932.185              
2700    365.912                 -932.533              
2800    367.778                 -932.924              
2900    369.587                 -933.365              
3000    371.343                 -933.865              
3100    373.047                 -934.431              
3200    374.704                 -935.071              
3300    376.315                 -935.794              
3400    377.884                 -936.606              
3500    379.411                 -937.516              
3600    380.900                 -938.530              
3700    382.352                 -939.654              
3800    383.770                 -940.893              
3900    385.153                 -942.252              
4000    386.505                 -943.733              
4100    387.826                 -945.338              
4200    389.118                 -947.065              
4300    390.383                 -948.918              
4400    391.620                 -950.895              
4500    392.832                 -952.992              
4600    394.019                 -955.140              
4700    395.183                 -957.448              
4800    396.324                 -959.857              
4900    397.443                 -962.365              
5000    398.542                 -964.957              
5100    399.619                 -967.614              
5200    400.678                 -970.364              
5300    401.717                 -973.181              
5400    402.739                 -976.057              
5500    403.743                 -978.984              
5600    404.730                 -981.955              
5700    405.700                 -984.962              
5800    406.655                 -987.997              
5900    407.594                 -990.843              
6000    408.518                 -993.883              
