T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     511.324                 -765.570              
200     423.672                 -765.647              
250     414.929                 -765.283              
298.15  412.973                 -764.835              
300     412.975                 -764.817              
350     414.451                 -764.294              
400     417.764                 -763.741              
450     422.085                 -763.173              
500     426.953                 -762.602              
600     437.367                 -761.469              
700     447.900                 -760.361              
800     458.134                 -759.277              
900     467.917                 -758.215              
1000    477.206                 -757.182              
1100    486.006                 -756.186              
1200    494.339                 -755.237              
1300    502.239                 -754.334              
1400    509.737                 -753.470              
1500    516.866                 -752.635              
1600    523.656                 -751.825              
1700    530.134                 -751.048              
1800    536.327                 -750.323              
1900    542.255                 -749.666              
2000    547.940                 -749.085              
2100    553.399                 -748.581              
2200    558.650                 -748.157              
2300    563.706                 -747.820              
2400    568.582                 -747.577              
2500    573.289                 -747.439              
2600    577.838                 -747.418              
2700    582.240                 -747.526              
2800    586.503                 -747.779              
2900    590.635                 -748.192              
3000    594.645                 -748.782              
3100    598.539                 -749.569              
3200    602.324                 -750.570              
3300    606.005                 -788.263              
3400    609.588                 -789.332              
3500    613.078                 -790.439              
3600    616.480                 -791.578              
3700    619.798                 -792.744              
3800    623.035                 -793.932              
3900    626.196                 -795.135              
4000    629.285                 -796.349              
4100    632.304                 -797.565              
4200    635.256                 -798.777              
4300    638.144                 -799.980              
4400    640.972                 -801.166              
4500    643.741                 -802.330              
4600    646.454                 -803.465              
4700    649.113                 -804.566              
4800    651.720                 -805.628              
4900    654.277                 -806.646              
5000    656.786                 -807.615              
5100    659.249                 -808.531              
5200    661.668                 -809.390              
5300    664.043                 -810.188              
5400    666.377                 -810.924              
5500    668.671                 -811.594              
5600    670.926                 -812.196              
5700    673.144                 -812.729              
5800    675.325                 -1551.944             
5900    677.471                 -1552.546             
6000    679.584                 -1553.118             
