T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     316.528                 -198.255              
200     284.196                 -199.646              
250     281.019                 -200.283              
298.15  280.306                 -200.832              
300     280.306                 -200.852              
350     280.850                 -201.348              
400     282.082                 -201.784              
450     283.703                 -202.176              
500     285.548                 -202.538              
600     289.545                 -203.218              
700     293.648                 -203.879              
800     297.685                 -204.540              
900     301.584                 -205.212              
1000    305.318                 -205.903              
1100    308.880                 -206.627              
1200    312.275                 -207.393              
1300    315.509                 -208.202              
1400    318.593                 -209.045              
1500    321.538                 -209.914              
1600    324.352                 -210.804              
1700    327.045                 -211.722              
1800    329.627                 -212.686              
1900    332.105                 -213.712              
2000    334.487                 -214.804              
2100    336.779                 -215.960              
2200    338.989                 -217.180              
2300    341.120                 -218.466              
2400    343.179                 -219.822              
2500    345.171                 -221.254              
2600    347.099                 -222.768              
2700    348.967                 -224.376              
2800    350.780                 -226.087              
2900    352.540                 -227.914              
3000    354.250                 -229.875              
3100    355.913                 -231.985              
3200    357.533                 -234.265              
3300    359.110                 -273.190              
3400    360.648                 -275.449              
3500    362.148                 -277.706              
3600    363.612                 -279.958              
3700    365.043                 -282.206              
3800    366.441                 -284.449              
3900    367.809                 -286.686              
4000    369.147                 -288.918              
4100    370.456                 -291.143              
4200    371.739                 -293.363              
4300    372.997                 -295.576              
4400    374.230                 -297.784              
4500    375.439                 -299.986              
4600    376.625                 -302.184              
4700    377.790                 -304.377              
4800    378.933                 -306.567              
4900    380.057                 -308.755              
5000    381.161                 -310.940              
5100    382.246                 -313.126              
5200    383.314                 -315.312              
5300    384.364                 -317.499              
5400    385.397                 -319.691              
5500    386.413                 -321.886              
5600    387.414                 -324.088              
5700    388.400                 -326.298              
5800    389.371                 -1067.272             
5900    390.327                 -1069.715             
6000    391.270                 -1072.215             
