T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  87.864                  -1435.530             
300     87.866                  -1435.494             
400     91.486                  -1433.682             
500     98.379                  -1432.000             
600     106.194                 -1430.307             
700     114.130                 -1428.552             
800     121.890                 -1426.668             
900     129.367                 -1424.653             
1000    136.531                 -1422.546             
1100    143.385                 -1420.393             
1200    149.945                 -1422.162             
1300    156.234                 -1419.144             
1400    162.274                 -1415.918             
1500    168.087                 -1412.462             
1600    173.692                 -1408.949             
1700    179.099                 -1405.496             
1800    184.319                 -1402.112             
1900    189.361                 -1398.807             
2000    194.236                 -1410.275             
