T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  198.322                 -443.086              
300     198.324                 -443.016              
400     203.482                 -439.164              
500     213.401                 -435.019              
600     224.732                 -430.492              
700     236.319                 -425.543              
800     247.724                 -420.147              
900     258.782                 -414.287              
1000    269.436                 -408.012              
1100    279.672                 -401.390              
1200    289.498                 -394.493              
1300    298.928                 -387.387              
1400    307.981                 -380.110              
1500    316.678                 -372.689              
1600    325.040                 -365.145              
1700    333.090                 -357.493              
1800    340.848                 -349.738              
1900    348.332                 -341.892              
2000    355.561                 -333.969              
