T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     63.224                  0.                    
200     44.005                  0.                    
250     42.132                  0.                    
298.15  41.717                  0.                    
300     41.717                  0.                    
350     42.028                  0.                    
400     42.725                  0.                    
450     43.634                  0.                    
500     44.660                  0.                    
600     46.868                  0.                    
700     49.239                  0.                    
800     52.788                  0.                    
900     55.985                  0.                    
1000    58.892                  0.                    
1100    61.557                  0.                    
1200    64.015                  115.101               
1300    66.297                  -114.041              
1400    68.425                  -112.982              
1500    70.419                  -111.923              
1600    72.294                  -110.863              
1700    74.065                  -109.804              
1800    75.741                  -108.744              
1900    77.333                  -107.685              
2000    78.848                  -106.626              
