T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  122.493                 -411.594              
300     122.495                 -411.535              
400     126.064                 -408.464              
500     132.805                 -405.560              
600     140.352                 -402.783              
700     147.920                 -400.121              
800     155.227                 -397.571              
900     162.177                 -395.138              
1000    168.750                 -392.831              
1100    174.957                 390.652               
1200    180.820                 -392.315              
1300    186.365                 -389.856              
1400    191.618                 -387.448              
1500    196.604                 -385.103              
1600    201.347                 -382.829              
1700    205.866                 -380.638              
1800    210.181                 -378.541              
1900    214.308                 -376.549              
2000    218.262                 -374.673              
