T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     430.456                 -2649.997             
200     353.847                 -2655.345             
250     345.242                 -2658.293             
298.15  343.191                 -2661.024             
300     343.194                 -2661.125             
350     344.880                 -2663.698             
400     348.861                 -2665.907             
450     354.313                 -2667.752             
500     360.724                 -2669.277             
600     375.205                 -2671.589             
700     390.716                 -2673.260             
800     406.479                 -2674.605             
900     422.094                 -2675.844             
1000    437.355                 -2677.134             
1100    452.158                 -2678.588             
1200    466.459                 -2680.289             
1300    480.245                 -2682.303             
1400    493.520                 -2684.682             
1500    506.301                 -2687.469             
1600    518.608                 -2777.915             
1700    530.464                 -2779.211             
1800    541.892                 -2780.590             
1900    552.918                 -2782.069             
2000    563.563                 -2783.660             
2100    573.850                 -2785.376             
2200    583.798                 -2787.224             
2300    593.428                 -2789.213             
2400    602.757                 -2791.348             
2500    611.802                 -2793.635             
2600    620.579                 -2796.076             
2700    629.103                 -2798.675             
2800    637.385                 -4547.176             
2900    645.440                 -4543.714             
3000    653.279                 -4540.316             
3100    660.912                 -4536.989             
3200    668.350                 -4533.742             
3300    675.602                 -4530.582             
3400    682.677                 -4527.521             
3500    689.583                 -4524.569             
3600    696.328                 -4521.736             
3700    702.919                 -4519.034             
3800    709.362                 -4516.475             
3900    715.664                 -4514.070             
4000    721.831                 -4511.833             
4100    727.868                 -4509.776             
4200    733.781                 -4507.911             
4300    739.575                 -4506.252             
4400    745.254                 -4504.811             
4500    750.822                 -4503.599             
4600    756.284                 -4502.631             
4700    761.644                 -4501.916             
4800    766.905                 -4501.467             
4900    772.071                 -4501.294             
5000    777.145                 -4501.407             
5100    782.130                 -4501.817             
5200    787.030                 -4502.530             
5300    791.848                 -4503.556             
5400    796.585                 -4504.904             
5500    801.245                 -4506.577             
5600    805.829                 -4508.584             
5700    810.342                 -4510.930             
5800    814.783                 -4513.617             
5900    819.157                 -4516.652             
6000    823.464                 -4520.037             
