T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  39.549                  10.562                
300     39.550                  10.562                
350     39.848                  10.562                
400     40.522                  10.562                
450     41.404                  10.562                
500     42.403                  10.562                
600     44.557                  10.562                
700     46.762                  10.562                
800     48.948                  10.706                
900     51.089                  10.740                
1000    53.156                  0.                    
1100    55.136                  0.                    
1200    57.027                  0.                    
1300    58.831                  0.                    
1400    60.552                  0.                    
1500    62.194                  0.                    
1600    63.764                  0.                    
1700    65.266                  0.                    
1800    66.704                  0.                    
1900    68.085                  0.                    
2000    69.410                  0.                    
2100    70.686                  0.                    
2200    71.914                  0.                    
2300    73.098                  0.                    
2400    74.240                  0.                    
2500    75.345                  0.                    
2600    76.413                  0.                    
2700    77.447                  0.                    
2800    78.450                  293.901               
2900    79.422                  -292.806              
3000    80.366                  -291.710              
