T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     333.920                 -643.752              
200     292.820                 -644.150              
250     288.627                 -644.248              
298.15  287.675                 -644.336              
300     287.677                 -644.339              
350     288.410                 -644.434              
400     290.078                 -644.537              
450     292.285                 -644.647              
500     294.803                 -644.759              
600     300.282                 -644.981              
700     305.933                 -645.194              
800     311.512                 -645.402              
900     316.916                 -645.613              
1000    322.105                 -645.834              
1100    327.066                 -646.071              
1200    331.803                 -646.330              
1300    336.323                 -646.613              
1400    340.640                 -646.924              
1500    344.766                 -647.267              
1600    348.714                 -647.643              
1700    352.496                 -648.053              
1800    356.125                 -648.499              
1900    359.610                 -648.981              
2000    362.962                 -649.501              
2100    366.190                 -650.057              
2200    369.302                 -650.652              
2300    372.306                 -651.284              
2400    375.209                 -702.212              
2500    378.017                 -702.997              
2600    380.735                 -703.787              
2700    383.369                 -704.581              
2800    385.925                 -705.380              
2900    388.406                 -706.183              
3000    390.816                 -706.989              
3100    393.159                 -707.798              
3200    395.440                 -708.607              
3300    397.660                 -709.417              
3400    399.824                 -710.225              
3500    401.933                 -711.029              
3600    403.991                 -711.827              
3700    406.000                 -712.617              
3800    407.962                 -713.398              
3900    409.880                 -714.166              
4000    411.754                 -714.919              
4100    413.588                 -715.655              
4200    415.382                 -1196.221             
4300    417.139                 -1195.828             
4400    418.860                 -1195.413             
4500    420.546                 -1194.975             
4600    422.199                 -1194.510             
4700    423.820                 -1194.018             
4800    425.410                 -1193.497             
4900    426.970                 -1192.946             
5000    428.502                 -1192.364             
5100    430.006                 -1191.750             
5200    431.484                 -1191.103             
5300    432.936                 -1190.423             
5400    434.364                 -1189.709             
5500    435.767                 -1188.961             
5600    437.147                 -1188.178             
5700    438.505                 -1187.361             
5800    439.841                 -1186.510             
5900    441.156                 -1185.625             
6000    442.451                 -1184.707             
