T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  148.532                 -757.722              
300     148.533                 -757.772              
400     151.582                 -787.455              
500     157.409                 -786.935              
600     164.022                 -787.031              
700     170.743                 -786.122              
800     177.319                 -785.523              
900     183.656                 -784.299              
1000    189.727                 -782.869              
1100    195.534                 -789.601              
1200    201.089                 787.992               
1300    206.408                 -786.076              
1400    211.510                 -783.874              
1500    216.412                 -781.409              
