T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     318.498                 -215.341              
200     278.680                 -216.221              
250     274.778                 -217.091              
298.15  273.909                 -229.283              
300     273.910                 -229.355              
350     274.564                 -260.180              
400     276.035                 -260.210              
450     277.955                 -260.264              
500     280.123                 -260.333              
600     284.776                 -260.507              
700     289.501                 -260.726              
800     294.110                 -260.996              
900     298.531                 -261.322              
1000    302.742                 -261.712              
1100    306.741                 -262.171              
1200    310.536                 -262.704              
1300    314.141                 -263.315              
1400    317.568                 -264.009              
1500    320.832                 -264.789              
1600    323.945                 -280.195              
1700    326.919                 -280.757              
1800    329.764                 -281.348              
1900    332.491                 -281.970              
2000    335.108                 -282.626              
2100    337.624                 -283.317              
2200    340.045                 -284.047              
2300    342.378                 -284.816              
2400    344.629                 -285.626              
2500    346.803                 -286.478              
2600    348.906                 -287.372              
2700    350.941                 -288.309              
2800    352.914                 -580.243              
2900    354.827                 -580.198              
3000    356.683                 -580.174              
3100    358.487                 -580.171              
3200    360.241                 -580.189              
3300    361.947                 -580.227              
3400    363.609                 -580.284              
3500    365.228                 -580.359              
3600    366.806                 -580.451              
3700    368.346                 -580.560              
3800    369.849                 -580.685              
3900    371.317                 -580.826              
4000    372.751                 -580.983              
4100    374.153                 -581.156              
4200    375.525                 -581.345              
4300    376.868                 -581.550              
4400    378.182                 -581.772              
4500    379.469                 -582.012              
4600    380.731                 -582.270              
4700    381.967                 -582.547              
4800    383.180                 -582.843              
4900    384.370                 -583.160              
5000    385.537                 -583.499              
5100    386.683                 -583.859              
5200    387.809                 -584.242              
5300    388.915                 -584.649              
5400    390.001                 -585.081              
5500    391.069                 -585.537              
5600    392.119                 -586.019              
5700    393.152                 -586.528              
5800    394.168                 -587.062              
5900    395.168                 -587.624              
6000    396.152                 -588.213              
