T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     240.225                 -113.745              
200     212.944                 -114.028              
250     210.212                 -114.314              
298.15  209.594                 -114.642              
300     209.595                 -114.655              
350     210.070                 -115.022              
400     211.152                 -115.390              
450     212.581                 -115.750              
500     214.212                 -116.102              
600     217.763                 -116.788              
700     221.428                 -117.467              
800     225.051                 -118.155              
900     228.566                 -118.862              
1000    231.950                 -119.598              
1100    235.194                 -120.371              
1200    238.301                 -121.186              
1300    241.276                 -122.051              
1400    244.126                 -122.972              
1500    246.860                 -123.955              
1600    249.485                 -139.543              
1700    252.009                 -140.267              
1800    254.439                 -141.000              
1900    256.780                 -141.746              
2000    259.040                 -142.506              
2100    261.222                 -143.285              
2200    263.332                 -144.083              
2300    265.375                 -144.903              
2400    267.355                 -145.747              
2500    269.274                 -146.615              
2600    271.137                 -147.509              
2700    272.947                 -148.430              
2800    274.707                 -440.336              
2900    276.419                 -440.249              
3000    278.086                 -440.174              
3100    279.710                 -440.114              
3200    281.294                 -440.069              
3300    282.838                 -440.042              
3400    284.346                 -440.034              
3500    285.818                 -440.047              
3600    287.257                 -440.083              
3700    288.664                 -440.145              
3800    290.040                 -440.235              
3900    291.387                 -440.354              
4000    292.705                 -440.505              
4100    293.996                 -440.690              
4200    295.262                 -440.911              
4300    296.502                 -441.170              
4400    297.718                 -441.470              
4500    298.912                 -441.811              
4600    300.083                 -442.197              
4700    301.232                 -442.628              
4800    302.362                 -443.107              
4900    303.471                 -443.635              
5000    304.561                 -444.212              
5100    305.632                 -444.842              
5200    306.686                 -445.524              
5300    307.722                 -446.259              
5400    308.741                 -447.048              
5500    309.745                 -447.892              
5600    310.732                 -448.791              
5700    311.705                 -449.746              
5800    312.662                 -450.756              
5900    313.606                 -451.822              
6000    314.535                 -452.943              
