T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     306.188                 -929.755              
200     266.577                 -931.896              
250     262.389                 -932.645              
298.15  261.419                 -933.199              
300     261.420                 -933.218              
350     262.189                 -933.651              
400     263.966                 -933.970              
450     266.354                 -934.198              
500     269.120                 -934.351              
600     275.249                 -934.485              
700     281.697                 -934.451              
800     288.164                 -934.298              
900     294.507                 -934.065              
1000    300.660                 -933.778              
1100    306.593                 -933.456              
1200    312.298                 -933.115              
1300    317.776                 -932.766              
1400    323.033                 -932.417              
1500    328.081                 -932.075              
1600    332.930                 -931.744              
1700    337.591                 -931.428              
1800    342.077                 -931.125              
1900    346.398                 -930.835              
2000    350.563                 -930.556              
2100    354.584                 -930.283              
2200    358.467                 -930.011              
2300    362.223                 -929.735              
2400    365.858                 -929.449              
2500    369.379                 -929.146              
2600    372.794                 -928.821              
2700    376.107                 -928.466              
2800    379.325                 -928.077              
2900    382.452                 -927.649              
3000    385.494                 -927.177              
3100    388.454                 -926.656              
3200    391.337                 -926.084              
3300    394.147                 -925.458              
3400    396.888                 -924.775              
3500    399.561                 -924.034              
3600    402.171                 -923.233              
3700    404.721                 -922.372              
3800    407.213                 -921.450              
3900    409.650                 -920.468              
4000    412.033                 -919.425              
4100    414.366                 -918.322              
4200    416.650                 -917.160              
4300    418.887                 -915.940              
4400    421.080                 -914.663              
4500    423.229                 -913.330              
4600    425.337                 -911.943              
4700    427.405                 -910.503              
4800    429.435                 -909.011              
4900    431.427                 -907.470              
5000    433.384                 -905.880              
5100    435.306                 -904.243              
5200    437.195                 -902.562              
5300    439.052                 -900.837              
5400    440.877                 -899.069              
5500    442.673                 -897.262              
5600    444.439                 -895.416              
5700    446.177                 -893.532              
5800    447.888                 -891.613              
5900    449.572                 -889.659              
6000    451.231                 -887.672              
