T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     243.568                 -393.208              
200     217.046                 -393.404              
298.15  213.795                 -393.522              
300     213.795                 -393.523              
400     215.307                 -393.583              
500     218.290                 -393.666              
600     221.772                 -393.803              
700     225.388                 -393.983              
800     228.986                 -394.188              
900     232.500                 -394.405              
1000    235.901                 -394.623              
1100    239.178                 -394.838              
1200    242.329                 -395.050              
1300    245.356                 -395.257              
1400    248.265                 -395.462              
1500    251.062                 -395.668              
1600    253.753                 -395.876              
1700    256.343                 -396.090              
1800    258.840                 -396.311              
1900    261.248                 -396.542              
2000    263.574                 -396.784              
2100    265.822                 -397.039              
2200    267.996                 -397.309              
2300    270.102                 -397.596              
2400    272.144                 -397.900              
2500    274.124                 -398.222              
2600    276.046                 -398.562              
2700    277.914                 -398.921              
2800    279.730                 -399.299              
2900    281.497                 -399.695              
3000    283.218                 -400.111              
3100    284.895                 -400.545              
3200    286.529                 -400.998              
3300    288.124                 -401.470              
3400    289.681                 -401.960              
3500    291.202                 -402.467              
3600    292.687                 -402.991              
3700    294.140                 -403.532              
3800    295.561                 -404.089              
3900    296.952                 -404.662              
4000    298.314                 -405.251              
4100    299.648                 -405.856              
4200    300.955                 -406.475              
4300    302.236                 -407.110              
4400    303.493                 -407.760              
4500    304.726                 -408.426              
4600    305.937                 -409.106              
4700    307.125                 -409.802              
4800    308.292                 -410.514              
4900    309.438                 -411.242              
5000    310.565                 -411.986              
5100    311.673                 -412.746              
5200    312.762                 -413.522              
5300    313.833                 -414.314              
5400    314.888                 -415.123              
5500    315.925                 -415.949              
5600    316.947                 -416.794              
5700    317.953                 -417.658              
5800    318.944                 -418.541              
5900    319.920                 -419.445              
6000    320.882                 -420.372              
