T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     63.525                  0.                    
200     43.924                  0.                    
250     42.012                  0.                    
298.15  41.588                  0.                    
300     41.589                  0.                    
350     41.906                  0.                    
400     42.615                  0.                    
450     43.541                  0.                    
500     44.590                  0.                    
600     46.861                  0.                    
700     49.210                  0.                    
800     51.681                  0.                    
900     54.097                  0.                    
1000    56.437                  0.                    
1100    58.714                  0.                    
1200    61.453                  0.                    
1300    64.085                  0.                    
1400    66.533                  0.                    
1500    68.822                  0.                    
1600    70.971                  0.                    
1700    72.995                  0.                    
1800    74.909                  148.674               
1900    76.724                  -147.260              
2000    78.450                  -145.852              
2100    80.094                  -144.452              
2200    81.665                  -143.062              
2300    83.169                  -141.688              
2400    84.610                  -140.332              
2500    85.995                  -139.002              
